"iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence"
"GAB","GA",2053.0,20336.0,20336.0,"e.p. obouo",11982.0,13.8714,-1.9495,3,"","",2015.0,"","",44,5,44,8,44,4,1,5370,0.11363636363636363,0.18181818181818182,0.09090909090909091,0.3214351530272316
"GAB","GA",2053.0,20343.0,20343.0,"e.p. omoi",11985.0,13.77499,-1.3397999999999999,3,"","",2015.0,"","",36,1,36,11,36,6,1,5414,0.027777777777777776,0.3055555555555556,0.16666666666666666,0.41261452752542893
"GAB","GA",2053.0,20345.0,20345.0,"e.p. onga",11930.0,14.2701195,-0.8580762,1,"","",2015.0,"","",124,2,124,62,124,22,1,5437,0.016129032258064516,0.5,0.1774193548387097,0.5616447097166866
"GAB","GA",2053.0,20345.0,20345.0,"e.p. onga",11921.0,14.2701195,-0.8580762,1,"","",2015.0,"","",126,2,126,62,126,22,1,5435,0.015873015873015872,0.49206349206349204,0.1746031746031746,0.5541561959936437
"GAB","GA",2053.0,20345.0,20345.0,"e.p. ossiele oguigana",11931.0,14.2192475,-0.9033641,1,"","",2015.0,"","",15,0,15,12,15,0,1,5434,0.0,0.8,0.0,0.7547169811320754
"GAB","GA",2053.0,20345.0,20345.0,"e.p. ossiele oguigana",11922.0,14.2192475,-0.9033641,1,"","",2015.0,"","",17,0,17,12,17,0,1,5436,0.0,0.7058823529411765,0.0,0.6659267480577137
"GAB","GA",2053.0,20336.0,20336.0,"e.p. otala",12053.0,13.82051,-1.02092,3,"","",2015.0,"","",36,2,36,21,36,5,1,5369,0.05555555555555555,0.5833333333333334,0.1388888888888889,0.6237139917695474
"GAB","GA",2053.0,20336.0,20336.0,"e.p. otala",11983.0,13.82051,-1.02092,3,"","",2015.0,"","",38,2,38,21,38,5,1,5376,0.05263157894736842,0.5526315789473685,0.13157894736842105,0.5961730490445002
"GAB","GA",2053.0,20343.0,20343.0,"e.p. reunification",11986.0,13.77483,-1.55986,3,"","",2015.0,"","",36,0,36,4,36,1,1,5415,0.0,0.1111111111111111,0.027777777777777776,0.12811553692056835
"GAB","GA",2053.0,20343.0,20343.0,"e.p.assiami",11987.0,13.7129887,-1.4222993,1,"","",2015.0,"","",26,2,26,10,26,0,1,5413,0.07692307692307693,0.38461538461538464,0.0,0.40750251200178633
"GAB","GA",2053.0,20344.0,20344.0,"e.p.ayanabo",12154.0,13.8332,-0.7755000000000001,3,"","",2015.0,"","",28,3,28,7,28,5,1,5428,0.10714285714285714,0.25,0.17857142857142858,0.4244681363111282
"GAB","GA",2053.0,20338.0,20338.0,"e.p.c. a bongoville",11925.0,13.8651056,-1.6437743,1,"","",2015.0,"","",35,4,35,6,35,3,1,5388,0.11428571428571428,0.17142857142857143,0.08571428571428572,0.3104021123274106
"GAB","GA",2053.0,20338.0,20338.0,"e.p.c. b bongoville",11926.0,13.8651056,-1.6437743,1,"","",2015.0,"","",96,4,96,10,96,10,1,5387,0.041666666666666664,0.10416666666666667,0.10416666666666667,0.2178498700646401
"GAB","GA",2053.0,20337.0,20337.0,"e.p.c. bakumba b",12063.0,13.01668,-1.82556,3,"","",2015.0,"","",83,0,83,16,83,16,1,5385,0.0,0.1927710843373494,0.1927710843373494,0.32866177143217107
"GAB","GA",2053.0,20337.0,20337.0,"e.p.c. bakumba b",11993.0,13.01668,-1.82556,3,"","",2015.0,"","",98,0,98,16,98,16,1,5383,0.0,0.16326530612244897,0.16326530612244897,0.282900992510982
"GAB","GA",2053.0,20342.0,20342.0,"e.p.c. moanda a",12046.0,13.2432632,-1.5370282,1,"","",2015.0,"","",102,4,102,19,102,25,1,5407,0.0392156862745098,0.18627450980392157,0.24509803921568626,0.3866099623312869
"GAB","GA",2053.0,20342.0,20342.0,"e.p.c. moanda a",11976.0,13.2432632,-1.5370282,1,"","",2015.0,"","",108,4,108,19,108,25,1,5410,0.037037037037037035,0.17592592592592593,0.23148148148148148,0.36805657405729875
"GAB","GA",2053.0,20344.0,20344.0,"e.p.c.a okondja",12160.0,13.67334,-0.65161,3,"","",2015.0,"","",81,3,81,18,81,20,1,5424,0.037037037037037035,0.2222222222222222,0.24691358024691357,0.41128298627586873
"GAB","GA",2053.0,20344.0,20344.0,"e.p.c.a okondja",12155.0,13.67334,-0.65161,3,"","",2015.0,"","",86,3,86,18,86,20,1,5425,0.03488372093023256,0.20930232558139536,0.23255813953488372,0.3908994841085548
"GAB","GA",2060.0,20378.0,20378.0,"e.p.c.methui",12169.0,11.58814,1.6097700000000001,3,"","",2015.0,"","",49,7,49,6,49,29,1,5594,0.14285714285714285,0.12244897959183673,0.5918367346938775,0.6537594959871843
