"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence"
"RWA","RW",3913,38118,38118,"",30.07377,-1.920906,3,"","mapping",2014,8.0,18.0,50,0,50,0,50,0,1,22619,0.0,0.0,0.0,0.0
"RWA","RW",3913,38120,38120,56568.0,30.0714885,-1.95716,1,"","",2008,"","",50,0,50,0,50,4,1,13252,0.0,0.0,0.08,0.07547169811320754
"RWA","RW",3916,38139,38139,"",29.2559,-1.69784,3,"","mapping",2014,8.0,18.0,45,0,45,4,45,12,1,22742,0.0,0.08888888888888889,0.26666666666666666,0.3130677847658979
"RWA","RW",3916,38137,38137,56549.0,29.4209845,-1.6284478,1,"","",2008,"","",57,2,57,52,57,50,1,13374,0.03508771929824561,0.9122807017543859,0.8771929824561403,0.9335900364627253
"RWA","RW",3916,38134,38134,56517.0,29.2569444,-2.4344444,1,"","",2008,"","",55,1,55,13,55,8,1,13363,0.01818181818181818,0.23636363636363636,0.14545454545454545,0.33896488666487107
"RWA","RW",3916,38138,38138,56558.0,28.98636,-2.49244,3,"","",2008,"","",62,17,62,30,62,36,1,13391,0.27419354838709675,0.4838709677419355,0.5806451612903226,0.7951939391597941
"RWA","RW",3914,38121,38121,"",29.71921,-1.461381,3,"","mapping",2014,8.0,18.0,50,0,50,34,50,27,1,22601,0.0,0.68,0.54,0.8045283018867926
"RWA","RW",3914,38121,38121,"",29.72916,-1.420057,3,"","mapping",2014,8.0,18.0,47,0,47,33,47,26,1,22602,0.0,0.7021276595744681,0.5531914893617021,0.8178378332208716
"RWA","RW",3915,38133,38133,56580.0,29.79088,-1.5963889,1,"","",2008,"","",60,23,60,25,60,3,1,13348,0.38333333333333336,0.4166666666666667,0.05,0.6210036687631028
"RWA","RW",3914,38121,38121,"",29.90763,-1.485418,3,"","mapping",2014,8.0,18.0,50,0,50,28,50,18,1,22603,0.0,0.56,0.36,0.6777358490566038
"RWA","RW",3914,38121,38121,"",29.87126,-1.45089,3,"","mapping",2014,8.0,18.0,50,4,50,37,50,24,1,22604,0.08,0.74,0.48,0.8260528301886794
"RWA","RW",3916,38137,38137,"",29.46319,-1.623503,3,"","mapping",2014,8.0,18.0,50,0,50,46,50,34,1,22702,0.0,0.92,0.68,0.9192452830188679
"RWA","RW",3914,38123,38123,56501.0,30.208334,-1.8011110000000001,3,"","",2008,"","",60,21,60,21,60,4,1,13275,0.35,0.35,0.06666666666666667,0.5713836477987421
"RWA","RW",3914,38125,38125,56586.0,29.9231,-1.6685500000000002,3,"","",2008,"","",61,12,61,46,61,39,1,13295,0.19672131147540983,0.7540983606557377,0.639344262295082,0.8761892047651232
"RWA","RW",3914,38121,38121,"",29.8352303,-1.4877669,1,"","mapping",2014,8.0,18.0,50,0,50,46,50,36,1,22605,0.0,0.92,0.72,0.9222641509433963
"RWA","RW",3914,38121,38121,56484.0,29.8352303,-1.4877669,1,"","",2008,"","",70,3,70,65,70,50,1,13258,0.04285714285714286,0.9285714285714286,0.7142857142857143,0.924968370097365
"RWA","RW",3913,38119,38119,"",30.14797,-1.984556,3,"","mapping",2014,8.0,18.0,50,0,50,0,50,0,1,22667,0.0,0.0,0.0,0.0
"RWA","RW",3916,38139,38139,56575.0,29.3196253,-1.6520508999999999,1,"","",2008,"","",60,0,60,51,60,52,1,13396,0.0,0.85,0.8666666666666667,0.9245283018867925
"RWA","RW",3916,38136,38136,56545.0,29.62541,-1.883333,1,"","",2008,"","",60,27,60,34,60,4,1,13366,0.45,0.5666666666666667,0.06666666666666667,0.7335429769392031
"RWA","RW",3916,38140,38140,56591.0,29.216999,-2.6170001,3,"","",2008,"","",65,15,65,47,65,27,1,13405,0.23076923076923078,0.7230769230769231,0.4153846153846154,0.8259118351783307
"RWA","RW",3914,38121,38121,"",29.83447,-1.521821,3,"","mapping",2014,8.0,18.0,49,14,49,27,49,15,1,22606,0.2857142857142857,0.5510204081632653,0.30612244897959184,0.7334657280041672
"RWA","RW",3915,38133,38133,56581.0,29.636499,-2.1159699,3,"","",2008,"","",61,48,61,9,61,2,1,13344,0.7868852459016393,0.14754098360655737,0.03278688524590164,0.7776272189019561
"RWA","RW",3912,38114,38114,56533.0,30.7867129,-2.0248778,1,"","",2008,"","",60,45,60,0,60,7,1,13196,0.75,0.0,0.11666666666666667,0.735062893081761
"RWA","RW",3915,38128,38128,56513.0,29.855101,-2.0617099,3,"","",2008,"","",60,23,60,8,60,0,1,13321,0.38333333333333336,0.13333333333333333,0.0,0.4392033542976939
"RWA","RW",3915,38128,38128,56514.0,29.8135266,-1.4933659,1,"","",2008,"","",60,36,60,6,60,1,1,13319,0.6,0.1,0.016666666666666666,0.6094339622641509
"RWA","RW",3916,38141,38141,"",29.29091,-1.827524,3,"","mapping",2014,8.0,18.0,50,0,50,45,50,48,1,22769,0.0,0.9,0.96,0.9396226415094338
