iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,asc_examined,asc_positive,tt_examined,tt_positive,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence
CIV,CI,1623.0,15393.0,15393.0,epp agni assikasso 2,,-4.04089,7.06655,3,school,mapping,2014.0,7.0,14.0,30,4,30,0,30,0,1,24682,0.13333333333333333,0.0,0.0,0.12578616352201255
CIV,CI,1619.0,15380.0,15380.0,epp agni residentiel 2,,-3.19959,7.12047,3,school,mapping,2014.0,7.0,14.0,30,2,30,0,30,0,1,24455,0.06666666666666667,0.0,0.0,0.06289308176100628
CIV,CI,1619.0,15380.0,15380.0,epp agnimou agninikro,,-3.23537,7.17049,3,school,mapping,2014.0,8.0,13.0,30,3,30,0,30,0,1,24456,0.1,0.0,0.0,0.09433962264150943
CIV,CI,1619.0,15380.0,15380.0,epp agninikro,,-3.41762,7.26239,3,school,mapping,2014.0,7.0,13.0,30,1,30,0,30,0,1,24457,0.03333333333333333,0.0,0.0,0.03144654088050314
CIV,CI,1609.0,15336.0,15336.0,epp agnissankoi 3b,,-4.02844,5.4481,3,school,mapping,2014.0,7.0,14.0,30,0,30,0,30,2,1,23793,0.0,0.0,0.06666666666666667,0.06289308176100628
CIV,CI,1609.0,15336.0,15336.0,epp agoueto bad a,,-4.06196,5.44575,4,school,mapping,2014.0,7.0,14.0,30,0,30,0,30,0,1,23794,0.0,0.0,0.0,0.0
CIV,CI,1612.0,15354.0,15354.0,epp ahibango,,-3.25457,7.83315,3,school,mapping,2014.0,7.0,13.0,30,1,30,1,30,0,1,24009,0.03333333333333333,0.03333333333333333,0.0,0.06184486373165619
CIV,CI,1619.0,15379.0,15379.0,epp ahinikro,,-3.63093,6.52834,3,school,mapping,2014.0,8.0,13.0,30,7,30,0,30,1,1,24438,0.23333333333333334,0.0,0.03333333333333333,0.2442348008385744
CIV,CI,1608.0,15331.0,15331.0,epp ahougnanssou,,-4.88187,5.33151,3,school,mapping,2014.0,7.0,13.0,31,11,31,1,31,1,1,23719,0.3548387096774194,0.03225806451612903,0.03225806451612903,0.37338742927932517
CIV,CI,1623.0,15392.0,15392.0,epp ahounienfoutou 2,,-4.37782,6.77621,3,school,mapping,2014.0,7.0,13.0,30,7,30,0,30,0,1,24669,0.23333333333333334,0.0,0.0,0.220125786163522
CIV,CI,1623.0,15391.0,15391.0,epp ahouzankro,,-4.39155,7.16508,3,school,mapping,2014.0,7.0,13.0,32,10,32,0,32,2,1,24654,0.3125,0.0,0.0625,0.33534787735849053
CIV,CI,1611.0,15347.0,15347.0,epp aka kouamekro,,-4.7805,7.26826,3,school,mapping,2014.0,7.0,14.0,30,0,30,0,30,0,1,23883,0.0,0.0,0.0,0.0
CIV,CI,1608.0,15330.0,15330.0,epp akakro,,-4.30518,5.28621,3,school,mapping,2014.0,8.0,14.0,30,7,30,8,30,16,1,23703,0.23333333333333334,0.26666666666666666,0.5333333333333333,0.6958770090845563
CIV,CI,1611.0,15349.0,15349.0,epp aklomianbla,,-5.01777,6.5587800000000005,3,school,mapping,2014.0,7.0,14.0,30,1,30,0,30,0,1,23925,0.03333333333333333,0.0,0.0,0.03144654088050314
CIV,CI,1623.0,15391.0,15391.0,epp akotiakro,,-4.3516,7.21286,3,school,mapping,2014.0,7.0,13.0,30,14,30,0,30,0,1,24655,0.4666666666666667,0.0,0.0,0.440251572327044
CIV,CI,1619.0,15381.0,15381.0,epp akrebi,,-3.3865,6.14522,3,school,mapping,2014.0,9.0,14.0,30,1,30,0,30,0,1,24468,0.03333333333333333,0.0,0.0,0.03144654088050314
CIV,CI,1608.0,15332.0,15332.0,epp akrou,,-4.35532,5.20034,3,school,mapping,2014.0,8.0,12.0,30,2,30,0,30,0,1,23735,0.06666666666666667,0.0,0.0,0.06289308176100628
CIV,CI,1611.0,15349.0,15349.0,epp akunvikro,,-4.82209,6.42481,3,school,mapping,2014.0,7.0,14.0,30,19,30,0,30,0,1,23926,0.6333333333333333,0.0,0.0,0.5974842767295596
CIV,CI,1616.0,15371.0,15371.0,epp al fawzou al azim,,-5.9634736,6.1523348,3,school,sentinel site,2013.0,4.0,15.0,120,6,120,0,120,0,1,24294,0.05,0.0,0.0,0.04716981132075471
