"iso3","iso2","admin1_id","admin2_id","iu_id","location","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst","identifier"
"ETH","ET",1950.0,"",3134.0,"mizan aman","",35.5822,6.993647,4,"","",2013.0,5.0,17.0,460.0,0,460.0,132,460.0,86,1,29518,0.0,0.2869565217391304,0.1869565217391304,0.396476085173164,0.07045758218737526,210,210,359,176
"ETH","ET",1950.0,"",3148.0,"mulu","",37.566667,6.25,4,"","",2012.0,5.0,15.0,100.0,7,100.0,63,100.0,12,1,30186,0.07,0.63,0.12,0.6577283018867924,0.0,211,211,63,61
"ETH","ET",1948.0,3143.0,18818.0,"mumicho",52241.0,41.497601,9.1426601,3,"","",2009.0,"","",81.0,32,81.0,0,81.0,0,1,5133,0.3950617283950617,0.0,0.0,0.3726997437689261,15265.091223049089,212,212,212,177
"ETH","ET",1948.0,3135.0,18796.0,"mure turkuma",52204.0,38.2631,5.71174,3,"","",2009.0,"","",106.0,0,106.0,28,106.0,1,1,5124,0.0,0.2641509433962264,0.0094339622641509,0.2557480336116391,30.195035852491856,213,213,213,178
"ETH","ET",1948.0,3135.0,18796.0,"muri turkuma",52205.0,38.2631,5.7114701,3,"","",2009.0,"","",106.0,0,106.0,28,106.0,1,1,5123,0.0,0.2641509433962264,0.0094339622641509,0.2557480336116391,30.195035852491856,214,214,214,179
"ETH","ET",1943.0,3171.0,18602.0,"nefas mewcha","",38.465,11.735,3,"","",1995.0,7.0,19.0,116.0,0,116.0,10,116.0,0,3,31528,0.0,0.0862068965517241,0.0,0.0813272608978529,270.6572800612136,215,215,215,180
"ETH","ET",1948.0,3194.0,19034.0,"nono gino",52539.0,35.344501,8.9456701,3,"","",2009.0,"","",101.0,24,101.0,36,101.0,4,1,5253,0.2376237623762376,0.3564356435643564,0.0396039603960396,0.4988613604088184,21831.168006633685,216,216,216,181
"ETH","ET",1948.0,3189.0,18895.0,"oda ananl",52350.0,40.4641,8.818090399999999,3,"","",2009.0,"","",96.0,28,96.0,0,96.0,0,1,5169,0.2916666666666667,0.0,0.0,0.2751572327044025,5190.208817226283,217,217,217,182
"ETH","ET",1948.0,3194.0,18949.0,"odora tobera",52441.0,34.965401,9.8265104,3,"","",2009.0,"","",107.0,75,107.0,0,107.0,0,1,5199,0.7009345794392523,0.0,0.0,0.6612590372068418,17875.241769465552,218,218,218,183
"ETH","ET",1948.0,3146.0,18875.0,"ongobo bekennisa",52322.0,36.994099,9.0855904,3,"","",2009.0,"","",110.0,61,110.0,26,110.0,1,1,5162,0.5545454545454546,0.2363636363636363,0.009090909090909,0.6254029457210496,32274.746529598204,219,219,219,184
