iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence,shortest,id,src,dst,identifier
SEN,SN,4123.0,40175.0,40175.0,gagnick,,-16.005083,14.309486,3,,,2013.0,5.0,20.0,50,0,,,50,0,,,50,0,,,1,29560,0.0,0.0,0.0,0.0,10118.164575886623,25,25,25,25
SEN,SN,4131.0,40215.0,40215.0,gnagna bougou,,-16.893486,14.367833,3,,,2013.0,5.0,20.0,50,0,,,50,2,,,50,1,,,1,29632,0.0,0.04,0.02,0.0558490566037735,5660.276346707076,26,26,26,26
SEN,SN,4125.0,40182.0,40182.0,gounass,56628.0,-13.752088,13.146617,2,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,13478,0.0,0.0,0.0,0.0,72217.47405605031,27,27,27,27
SEN,SN,4119.0,40157.0,40157.0,guediawaye / demba wade,,-17.391083,14.782431,3,,,2013.0,5.0,20.0,50,0,,,50,24,,,50,32,,,1,29575,0.0,0.48,0.64,0.7667924528301888,362.16286462556366,28,28,28,28
SEN,SN,4119.0,40157.0,40157.0,guedjawaye,,-17.395599,14.7761,3,,,1986.0,0.0,5.0,103,0,,,103,34,,,103,30,,,3,29060,0.0,0.3300970873786408,0.2912621359223301,0.4954853212918187,885.4317877219132,29,29,29,29
SEN,SN,4119.0,40157.0,40157.0,guepay,,-17.393583,14.784444,3,,,2013.0,5.0,20.0,50,0,,,50,31,,,50,31,,,1,29579,0.0,0.62,0.62,0.8071698113207546,362.16286462556366,30,30,30,30
SEN,SN,4119.0,40157.0,40157.0,guinaw rail nord,,-17.3834048,14.7527106,1,,,2013.0,5.0,20.0,50,0,,,50,19,,,50,11,,,1,29556,0.0,0.38,0.22,0.4871698113207546,1066.3187458625862,31,31,31,31
SEN,SN,4121.0,40170.0,40170.0,haidara,,-16.429792,13.679028,3,,,2013.0,5.0,20.0,50,0,,,50,0,,,50,0,,,1,29542,0.0,0.0,0.0,0.0,2724.0879840995185,32,32,32,32
SEN,SN,4131.0,40218.0,40218.0,hersent ii,,-16.9100378,14.7753254,1,,,2013.0,5.0,20.0,50,0,,,50,11,,,50,1,,,1,29549,0.0,0.22,0.02,0.2222641509433962,3394.395110067534,33,33,33,33
SEN,SN,4119.0,40157.0,40157.0,icotaf 1,,-17.3955953,14.7484062,1,,,2013.0,5.0,20.0,50,0,,,50,18,,,50,9,,,1,29591,0.0,0.36,0.18,0.4483018867924528,1230.3284639389078,34,34,34,34
SEN,SN,4129.0,40202.0,40202.0,k?acgn?acto,56609.0,-15.705208,13.034236,3,,,2013.0,,,54,33,,,54,1,,,54,0,,,1,13504,0.6111111111111112,0.0185185185185185,0.0,0.5833139218883453,0.0,35,35,37,35
SEN,SN,4121.0,40170.0,40170.0,karang poste 1,,-16.4258643,13.6050746,1,,,2013.0,5.0,20.0,50,0,,,50,0,,,50,0,,,1,29543,0.0,0.0,0.0,0.0,5763.9697816069975,36,36,36,36
SEN,SN,4129.0,40202.0,40202.0,kegneto,,-15.705208,13.034236,3,,,2013.0,5.0,20.0,54,33,,,54,1,,,54,0,,,1,29618,0.6111111111111112,0.0185185185185185,0.0,0.5833139218883453,0.0,37,37,35,35
SEN,SN,4125.0,40182.0,40182.0,kerewane,56629.0,-14.993978,13.446536,1,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,13477,0.0,0.0,0.0,0.0,66404.53420124356,38,38,38,37
SEN,SN,4123.0,40177.0,40177.0,keur mamour seck,,-15.841514,14.058583,4,,,2013.0,5.0,20.0,50,0,,,50,0,,,50,0,,,1,29605,0.0,0.0,0.0,0.0,18549.78614602316,39,39,39,38
SEN,SN,4119.0,40157.0,40157.0,keur massar u04,,-17.320472,14.780819,3,,,2013.0,5.0,20.0,50,0,,,50,1,,,50,0,,,1,29585,0.0,0.02,0.0,0.0188679245283018,446.71155812902055,40,40,40,39
SEN,SN,4119.0,40157.0,40157.0,keur massar u09,,-17.323069,14.777861,3,,,2013.0,5.0,20.0,28,0,,,28,2,,,28,1,,,1,29582,0.0,0.0714285714285714,0.0357142857142857,0.0986715440893338,446.71155812902055,41,41,41,40
SEN,SN,4131.0,40218.0,40218.0,keur matar gueye,,-17.0918566,14.8173551,1,,,2013.0,5.0,20.0,50,0,,,50,22,,,50,0,,,1,29640,0.0,0.44,0.0,0.4150943396226415,7709.963392837361,42,42,42,41
SEN,SN,4131.0,40218.0,40218.0,keur modou ndiaye,,-16.9358604,14.7910052,1,,,2013.0,5.0,20.0,50,0,,,50,17,,,50,0,,,1,29642,0.0,0.34,0.0,0.320754716981132,0.0,43,43,11,12
SEN,SN,4126.0,40188.0,40188.0,keur momar sarr,16237.0,-15.9626436,15.9230977,1,,,2009.0,,,0,0,,,0,0,,,0,0,,,1,13490,,,,,32257.306755101003,44,44,44,42
SEN,SN,4122.0,40174.0,40174.0,keur yoro,,-15.15,14.1,1,,,2013.0,5.0,20.0,50,0,,,50,1,,,50,0,,,1,29559,0.0,0.02,0.0,0.0188679245283018,10850.28913242238,45,45,45,43
SEN,SN,4131.0,40218.0,40218.0,khinine,,-17.085096,14.750708,3,,,2013.0,5.0,20.0,50,4,,,50,13,,,50,3,,,1,29639,0.08,0.26,0.06,0.3396679245283018,7709.963392837361,46,46,46,44
SEN,SN,4128.0,40197.0,40197.0,khouma,,-15.681945,16.462223,3,,,1990.0,1.0,99.0,127,0,,,127,1,,,127,0,,,3,30717,0.0,0.0078740157480314,0.0,0.0074283167434259,1401.8577450590594,47,47,47,45
SEN,SN,4129.0,40183.0,40183.0,kindakam,,-15.684861,12.684861,3,,,2013.0,5.0,20.0,56,6,,,56,0,,,56,0,,,1,29626,0.1071428571428571,0.0,0.0,0.1010781671159029,10424.38238244308,48,48,48,46
SEN,SN,4127.0,40196.0,40196.0,kobilo diakesbe,,-13.522833,15.926681,3,,,2013.0,5.0,20.0,50,0,,,50,0,,,50,1,,,1,29615,0.0,0.0,0.02,0.0188679245283018,9115.000987225494,49,49,49,47
SEN,SN,4129.0,40183.0,40183.0,kolane,,-15.740818,12.524625,1,,,2013.0,5.0,20.0,52,27,,,52,0,,,52,0,,,1,29624,0.5192307692307693,0.0,0.0,0.4898403483309143,5995.9269239423975,50,50,50,48
SEN,SN,4130.0,40207.0,40207.0,koussan,16234.0,-12.442357,14.1305401,1,,,2008.0,,,0,0,,,0,0,,,0,0,,,1,19815,,,,,73883.52753627242,51,51,51,49
SEN,SN,4131.0,40216.0,40216.0,loyene niock,,-16.512403,15.201625,3,,,2013.0,5.0,20.0,50,0,,,50,0,,,50,0,,,1,29636,0.0,0.0,0.0,0.0,18813.998410607062,52,52,52,50
SEN,SN,4129.0,40202.0,40202.0,m?acdina wandifa,56610.0,-15.6374636,13.059241,1,,,2013.0,,,51,6,,,51,0,,,51,6,,,1,13505,0.1176470588235294,0.0,0.1176470588235294,0.2089181954690866,520.2799379409738,53,53,53,51
SEN,SN,4123.0,40175.0,40175.0,maka mbaye,,-15.914278,14.313361,3,,,2013.0,5.0,20.0,50,0,,,50,0,,,50,0,,,1,29561,0.0,0.0,0.0,0.0,7704.208968030102,54,54,54,52
SEN,SN,4123.0,40178.0,40178.0,maka nianguene,56661.0,-15.8,13.74372,1,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,13473,0.0,0.0,0.0,0.0,24658.51904067363,55,55,55,53
SEN,SN,4122.0,40174.0,40174.0,malem hodar,,-15.29466,14.08844,1,,,2013.0,5.0,20.0,50,0,,,50,0,,,50,1,,,1,29601,0.0,0.0,0.02,0.0188679245283018,6732.652180738141,56,56,56,54
SEN,SN,4119.0,40157.0,40157.0,malika montagne,,-17.326264,14.787736,3,,,2013.0,5.0,20.0,50,0,,,50,8,,,50,2,,,1,29581,0.0,0.16,0.04,0.1826415094339622,1024.6514720672699,57,57,57,55
SEN,SN,4129.0,40202.0,40202.0,mambign?ac,56611.0,-15.859417,12.963917,3,,,2013.0,,,50,2,,,50,0,,,50,0,,,1,13506,0.04,0.0,0.0,0.0377358490566037,0.0,58,58,59,56
SEN,SN,4129.0,40202.0,40202.0,mambigne,,-15.859417,12.963917,3,,,2013.0,5.0,20.0,50,2,,,50,0,,,50,0,,,1,29619,0.04,0.0,0.0,0.0377358490566037,0.0,59,59,58,56
SEN,SN,4129.0,40183.0,40183.0,mandina balante,,-15.753847,12.575639,3,,,2013.0,5.0,20.0,53,22,,,53,0,,,53,0,,,1,29568,0.4150943396226415,0.0,0.0,0.3915984336062655,5995.9269239423975,60,60,60,57
SEN,SN,4129.0,40183.0,40183.0,marsassoum,,-15.9773322,12.836481,1,,,2013.0,5.0,20.0,51,6,,,51,0,,,51,0,,,1,29627,0.1176470588235294,0.0,0.0,0.1109877913429522,19598.50035468499,61,61,61,58
SEN,SN,4128.0,40201.0,40201.0,mbakhana,16245.0,-16.3684552,16.0884876,1,,,2009.0,,,0,0,,,0,0,,,0,0,,,1,13503,,,,,49067.495665268965,62,62,62,59
SEN,SN,4123.0,40177.0,40177.0,mbamb laghem,,-15.986847,13.954792,4,,,2013.0,5.0,20.0,50,0,,,50,0,,,50,0,,,1,29606,0.0,0.0,0.0,0.0,7762.120985047076,63,63,63,60
SEN,SN,4122.0,40174.0,40174.0,mbarcounda,,-15.27525,14.032875,3,,,2013.0,5.0,20.0,50,0,,,50,1,,,50,0,,,1,29600,0.0,0.02,0.0,0.0188679245283018,6732.652180738141,64,64,64,61
SEN,SN,4131.0,40218.0,40218.0,mbawane,,-17.131166,14.878528,3,,,2013.0,5.0,20.0,50,2,,,50,10,,,50,0,,,1,29641,0.04,0.2,0.0,0.2188679245283018,5535.157700304508,65,65,65,62
SEN,SN,4131.0,40221.0,40221.0,mbidieum lebou,,-17.075682,14.892444,3,,,2013.0,5.0,20.0,50,0,,,50,7,,,50,0,,,1,29547,0.0,0.14,0.0,0.1320754716981132,858.7552123414234,66,66,66,63
SEN,SN,4123.0,40175.0,40175.0,mbouleme,,-16.029943,14.222694,3,,,2013.0,5.0,20.0,50,0,,,50,0,,,50,0,,,1,29603,0.0,0.0,0.0,0.0,5874.042608604815,67,67,67,64
SEN,SN,4131.0,40215.0,40215.0,mbour serere,,-16.9653756,14.4228422,1,,,2013.0,5.0,20.0,50,1,,,50,5,,,50,0,,,1,29630,0.02,0.1,0.0,0.1113207547169811,2976.286202612362,68,68,68,65
SEN,SN,4129.0,40202.0,40202.0,medina wandifa,,-15.639153,13.063486,3,,,2013.0,5.0,20.0,51,6,,,51,0,,,51,6,,,1,29621,0.1176470588235294,0.0,0.1176470588235294,0.2089181954690866,520.2799379409738,69,69,69,66
