iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence,shortest,id,src,dst,identifier
COD,CD,1500.0,24767.0,14028.0,asami,51396.0,23.591511,-3.51405,3,,,2012.0,,,47,11,,,47,2,,,47,1,,,1,3832,0.2340425531914893,0.0425531914893617,0.0212765957446808,0.2662641189586267,1556.067173401449,22,22,22,23
COD,CD,1500.0,24767.0,14027.0,asanga mbanga (50),51349.0,22.44536,-3.77916,3,,,2012.0,,,50,21,,,50,14,,,50,14,,,1,3828,0.42,0.28,0.28,0.6597433962264151,12284.925003999906,23,23,23,24
COD,CD,1506.0,24777.0,14252.0,asuku,51381.0,23.633333,3.5166669,3,,,2012.0,,,50,21,,,50,18,,,50,20,,,1,4349,0.42,0.36,0.4,0.7332830188679245,12135.576699805659,24,24,24,25
COD,CD,1506.0,24779.0,14215.0,atsinia,50708.0,30.555981,3.0819199,3,,,2013.0,,,30,1,,,30,0,,,30,0,,,1,4180,0.0333333333333333,0.0,0.0,0.0314465408805031,3353.988487515071,25,25,25,26
COD,CD,1506.0,24779.0,14251.0,aubha,51372.0,30.45207,3.3678601,3,,,2013.0,,,33,6,,,33,0,,,33,0,,,1,4343,0.1818181818181818,0.0,0.0,0.1715265866209262,11044.852383851925,26,26,26,27
COD,CD,1506.0,24779.0,14220.0,autsai,50732.0,30.822399,2.8673,3,,,2013.0,,,50,1,,,50,0,,,50,0,,,1,4198,0.02,0.0,0.0,0.0188679245283018,968.3458786704678,27,27,27,28
COD,CD,1498.0,24762.0,13952.0,av /kambo,11435.0,19.11666667,2.925555556,3,,,2014.0,,,50,1,,,50,5,,,50,0,,,1,3464,0.02,0.1,0.0,0.1113207547169811,19065.615347301886,28,28,28,29
COD,CD,1496.0,24753.0,13824.0,awe nganga,50977.0,18.566429,-4.0920868,3,,,2013.0,,,50,5,,,50,7,,,50,0,,,1,2753,0.1,0.14,0.0,0.2132075471698113,15472.437507912644,29,29,29,30
COD,CD,1506.0,24777.0,14276.0,azaya,51876.0,26.80991,3.0500901,3,,,2013.0,,,50,7,,,50,1,,,50,12,,,1,4450,0.14,0.02,0.24,0.3391245283018868,11998.978262519737,30,30,30,31
COD,CD,1499.0,24765.0,13988.0,b. nkelende/ep. ditabija,51492.0,23.26615,-5.6233802,3,,,2012.0,,,50,37,,,50,2,,,50,0,,,1,3636,0.74,0.04,0.0,0.7079245283018868,7444.726170570247,31,31,31,32
COD,CD,1500.0,24768.0,14050.0,ba nkunda,51979.0,23.30024,-6.33746,3,,,2012.0,,,50,11,,,50,1,,,50,0,,,1,3921,0.22,0.02,0.0,0.2222641509433962,5672.059870562688,32,32,32,33
COD,CD,1506.0,24780.0,14287.0,babagulu,52028.0,25.64736,0.4779,3,,,2013.0,,,47,17,,,47,1,,,47,1,,,1,4485,0.3617021276595745,0.0212765957446808,0.0212765957446808,0.3665799867299553,10942.715541403284,33,33,33,34
COD,CD,1506.0,24780.0,14274.0,babagulu,51834.0,27.25,0.5,3,,,2013.0,,,50,18,,,50,0,,,50,25,,,1,4437,0.36,0.0,0.5,0.641509433962264,6995.417160966247,34,34,34,35
COD,CD,1506.0,24780.0,14274.0,babule,51835.0,26.266667,0.766667,1,,,2013.0,,,50,22,,,50,0,,,50,25,,,1,4438,0.44,0.0,0.5,0.6792452830188678,1074.3652097526613,35,35,35,36
COD,CD,1506.0,24780.0,14228.0,badambila,50810.0,25.202459,1.07078,3,,,2013.0,,,50,18,,,50,18,,,50,10,,,1,4247,0.36,0.36,0.2,0.6342641509433962,4882.02353328145,36,36,36,37
COD,CD,1496.0,24753.0,13864.0,badi,52010.0,18.438259,-4.4667802,3,,,2013.0,,,50,7,,,50,6,,,50,4,,,1,2932,0.14,0.12,0.08,0.2865509433962264,6679.280767087359,37,37,37,38
COD,CD,1500.0,24766.0,14030.0,badimay,51433.0,25.736481,-5.38901,3,,,2012.0,,,45,19,,,45,0,,,45,0,,,1,3845,0.4222222222222222,0.0,0.0,0.3983228511530398,10688.731780583683,38,38,38,39
COD,CD,1500.0,24767.0,14038.0,badingue,51638.0,23.960751,-5.1630602,3,,,2012.0,,,50,4,,,50,8,,,50,5,,,1,3877,0.08,0.16,0.1,0.2872452830188679,12203.203969743301,39,39,39,40
COD,CD,1506.0,24777.0,14229.0,badja baya,11083.0,19.9627329,4.5847874,4,,,2014.0,,,50,4,,,50,7,,,50,1,,,1,4257,0.08,0.14,0.02,0.2119094339622641,21773.55107840189,40,40,40,41
COD,CD,1506.0,24777.0,14217.0,badolo,50723.0,25.85302,4.0296998,3,,,2013.0,,,50,9,,,50,7,,,50,5,,,1,4193,0.18,0.14,0.1,0.3446415094339622,2706.3792041579277,41,41,41,42
COD,CD,1506.0,24780.0,14274.0,baego,51836.0,26.2570385,0.7673283,1,,,2013.0,,,45,15,,,45,0,,,45,1,,,1,4434,0.3333333333333333,0.0,0.0222222222222222,0.3284416491963661,1074.3652097526613,42,42,42,43
COD,CD,1506.0,24778.0,14330.0,bafwabaka,50875.0,27.678333,2.1205561,3,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,4538,0.0,0.0,0.0,0.0,8970.113398977024,43,43,43,44
COD,CD,1506.0,24780.0,14223.0,bafwabalinga,50745.0,26.9351994,0.8308310999999999,1,,,2013.0,,,50,16,,,50,0,,,50,1,,,1,4218,0.32,0.0,0.02,0.3147169811320754,26324.348905214843,44,44,44,45
COD,CD,1506.0,24780.0,14222.0,bafwagbogbo,50741.0,27.00366,1.39467,3,,,2013.0,,,50,33,,,50,1,,,50,9,,,1,4212,0.66,0.02,0.18,0.6856377358490565,228.34635376006796,45,45,45,46
COD,CD,1506.0,24780.0,14223.0,bafwamate,50746.0,27.014219,1.31771,3,,,2013.0,,,50,27,,,50,2,,,50,13,,,1,4216,0.54,0.04,0.26,0.6351094339622642,8649.785602699163,46,46,46,47
COD,CD,1506.0,24780.0,14244.0,bagbanje,51058.0,24.556931,1.00029,3,,,2013.0,,,50,20,,,50,19,,,50,10,,,1,4329,0.4,0.38,0.2,0.6626415094339623,24721.65215136112,47,47,47,48
COD,CD,1498.0,24761.0,13932.0,bagon 2,11259.0,19.61583333,3.376111111,3,,,2014.0,,,50,3,,,50,0,,,50,3,,,1,3370,0.06,0.0,0.06,0.1098113207547169,30.975860678008758,48,48,48,49
COD,CD,1498.0,24761.0,13960.0,bainga,11513.0,22.47535,4.07087,3,,,2014.0,,,50,14,,,50,28,,,50,3,,,1,3505,0.28,0.56,0.06,0.6624603773584906,4534.690114308161,49,49,49,50
COD,CD,1500.0,24767.0,14047.0,bakamba,51849.0,23.808929,-4.8829098,3,,,2012.0,,,46,3,,,46,9,,,46,3,,,1,3917,0.0652173913043478,0.1956521739130435,0.0652173913043478,0.2803263854750942,18696.93963423903,50,50,50,51
COD,CD,1506.0,24778.0,14275.0,bakangi,51858.0,27.66226,2.3168399,3,,,2013.0,,,50,1,,,50,0,,,50,0,,,1,4440,0.02,0.0,0.0,0.0188679245283018,14606.576746454752,51,51,51,52
