iso2,iso3,admin0_id,admin1,admin1_id,admin2,admin2_id,iu_name,iu_id,iu_code
NG,NGA,34,Oyo,3805.0,Oluyole,36992.0,Oluyole,36992.0,NGA0380536992
MZ,MOZ,31,Nampula,3449.0,Malema,33178.0,Malema,33178.0,MOZ0344933178
MZ,MOZ,31,Cabo Delgado,3443.0,Pemba Metuge,33115.0,Pemba Metuge,33115.0,MOZ0344333115
NG,NGA,34,Plateau,3806.0,Jos East,37004.0,Jos East,37004.0,NGA0380637004
MZ,MOZ,31,Sofala,3451.0,Muanza,33221.0,Muanza,33221.0,MOZ0345133221
MZ,MOZ,31,Niassa,3450.0,Cuamba,33195.0,Cuamba,33195.0,MOZ0345033195
NG,NGA,34,Oyo,3805.0,Orelope,36994.0,Orelope,36994.0,NGA0380536994
MZ,MOZ,31,Niassa,3450.0,Magune(Majune),33198.0,Magune(Majune),33198.0,MOZ0345033198
NG,NGA,34,Akwa Ibom,3777.0,Onna,36398.0,Onna,36398.0,NGA0377736398
NG,NGA,34,Akwa Ibom,3777.0,Oron,36399.0,Oron,36399.0,NGA0377736399
NG,NGA,34,Akwa Ibom,3777.0,Oruk Anam,36400.0,Oruk Anam,36400.0,NGA0377736400
MZ,MOZ,31,Sofala,3451.0,Cheringoma,33213.0,Cheringoma,33213.0,MOZ0345133213
MZ,MOZ,31,Cabo Delgado,3443.0,Mecufi,33106.0,Mecufi,33106.0,MOZ0344333106
MZ,MOZ,31,Cidade De Maputo,3444.0,Nhlamankulu,33123.0,Nhlamankulu,33123.0,MOZ0344433123
MZ,MOZ,31,Cidade De Maputo,3444.0,Katembe,33122.0,Katembe,33122.0,MOZ0344433122
MZ,MOZ,31,Zambezia,3453.0,Maganja da Costa,33247.0,Maganja da Costa,33247.0,MOZ0345333247
MZ,MOZ,31,Cabo Delgado,3443.0,Chiure,33102.0,Chiure,33102.0,MOZ0344333102
NG,NGA,34,Akwa Ibom,3777.0,Ukanafun,36402.0,Ukanafun,36402.0,NGA0377736402
MZ,MOZ,31,Zambezia,3453.0,Pebane,33259.0,Pebane,33259.0,MOZ0345333259
MZ,MOZ,31,Nampula,3449.0,Lalaua,33175.0,Lalaua,33175.0,MOZ0344933175
MZ,MOZ,31,Cidade De Maputo,3444.0,Kanyaca,33121.0,Kanyaca,33121.0,MOZ0344433121
MZ,MOZ,31,Manica,3447.0,Tambara,33160.0,Tambara,33160.0,MOZ0344733160
MZ,MOZ,31,Manica,3447.0,Macossa,33156.0,Macossa,33156.0,MOZ0344733156
MZ,MOZ,31,Cabo Delgado,3443.0,Cid. Pemba,33103.0,Cid. Pemba,33103.0,MOZ0344333103
MZ,MOZ,31,Nampula,3449.0,Nacaroa,33191.0,Nacaroa,33191.0,MOZ0344933191
MZ,MOZ,31,Niassa,3450.0,Nipepe,33208.0,Nipepe,33208.0,MOZ0345033208
MZ,MOZ,31,Nampula,3449.0,Nacala Porto,33189.0,Nacala Porto,33189.0,MOZ0344933189
MZ,MOZ,31,Tete,3452.0,Doa,33229.0,Doa,33229.0,MOZ0345233229
