"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence"
"TCD","TD",1176,10717,10717,10732.0,19.2711111,9.9002778,3,"","",2015.0,"","",50,0,50,0,50,0,1,14448,0.0,0.0,0.0,0.0
"TCD","TD",1181,10737,10737,10884.0,16.4319444,9.4269444,3,"","",2015.0,"","",50,1,50,1,50,0,1,14530,0.02,0.02,0.0,0.03735849056603773
"TCD","TD",1168,10686,10686,"",14.85,12.88,3,"","",2008.0,14.0,50.0,42,1,42,22,42,0,1,30742,0.023809523809523808,0.5238095238095238,0.0,0.5048560304624994
"TCD","TD",1168,10686,10686,"",14.85,12.88,3,"","",2008.0,0.0,5.0,56,3,56,7,56,0,1,30741,0.05357142857142857,0.125,0.0,0.16214622641509432
"TCD","TD",1167,10682,10682,101490.0,18.7126804,11.8574533,1,"","",2015.0,10.0,0.0,50,0,50,0,50,0,1,622,0.0,0.0,0.0,0.0
"TCD","TD",1176,10720,10720,11048.0,18.4839446,9.0140717,1,"","",2015.0,"","",50,1,50,0,50,2,1,14465,0.02,0.0,0.04,0.055849056603773574
"TCD","TD",1176,10718,10718,101145.0,18.4276047,9.0639998,1,"","",2015.0,10.0,0.0,50,1,50,0,50,0,1,563,0.02,0.0,0.0,0.018867924528301886
"TCD","TD",1176,10719,10719,10879.0,18.94493,9.4547967,1,"","",2015.0,"","",50,1,50,0,50,0,1,14459,0.02,0.0,0.0,0.018867924528301886
"TCD","TD",1166,10675,10675,10681.0,22.8844444,16.0044444,3,"","",2015.0,"","",50,0,50,0,50,0,1,14305,0.0,0.0,0.0,0.0
"TCD","TD",1169,10689,10689,11027.0,14.7788889,14.5833333,3,"","",2015.0,"","",50,0,50,0,50,0,1,14362,0.0,0.0,0.0,0.0
"TCD","TD",1176,10720,10720,101614.0,18.3786271,9.1678445,3,"","",2015.0,10.0,0.0,50,9,50,3,50,6,1,631,0.18,0.06,0.12,0.30348679245283017
"TCD","TD",1176,10720,10720,101616.0,18.3786271,9.1678445,3,"","",2015.0,10.0,0.0,50,7,50,3,50,0,1,632,0.14,0.06,0.0,0.18075471698113207
"TCD","TD",1187,10704,10704,50650.0,16.0965,8.5734997,3,"","",2000.0,"","",53,16,53,0,53,0,3,14414,0.3018867924528302,0.0,0.0,0.28479886080455674
"TCD","TD",1181,10737,10737,10885.0,16.6191667,9.2319444,3,"","",2015.0,"","",50,0,50,0,50,0,1,14527,0.0,0.0,0.0,0.0
"TCD","TD",1187,10701,10701,101051.0,16.00807,7.9348,3,"","",2015.0,10.0,0.0,50,4,50,0,50,0,1,543,0.08,0.0,0.0,0.07547169811320754
"TCD","TD",1170,10694,10694,10903.0,14.4688889,13.8591667,3,"","",2015.0,"","",23,0,23,0,23,0,1,14381,0.0,0.0,0.0,0.0
"TCD","TD",1169,10688,10688,10961.0,15.4916667,13.5191667,3,"","",2015.0,"","",50,0,50,0,50,0,1,14359,0.0,0.0,0.0,0.0
