"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence"
"MDG","MG",2864.0,0.0,27853.0,12950.0,49.86160333,-16.981015,3,"","",2015.0,"","",50,2,50,15,50,40,1,8809,0.04,0.3,0.8,0.8166037735849058
"MDG","MG",2881.0,0.0,27936.0,55159.0,46.736698,-19.643499,3,"","",1995.0,"","",121,2,121,76,121,8,3,9088,0.01652892561983471,0.628099173553719,0.06611570247933884,0.6211588281278382
"MDG","MG",2863.0,0.0,27842.0,12780.0,47.679829,-19.32358,1,"","",2015.0,"","",50,0,50,11,50,2,1,8796,0.0,0.22,0.04,0.2369811320754717
"MDG","MG",2871.0,0.0,27889.0,12885.0,46.95271167,-15.77795,3,"","",2015.0,"","",50,0,50,1,50,0,1,8914,0.0,0.02,0.0,0.018867924528301886
"MDG","MG",2881.0,0.0,27936.0,55160.0,46.6666669,-20.116667,1,"","",1995.0,"","",78,0,78,63,78,4,3,9076,0.0,0.8076923076923077,0.05128205128205128,0.7712775855010978
"MDG","MG",2874.0,0.0,27900.0,"",47.332001,-21.166,3,"","",1990.0,1.0,10.0,96,0,96,75,96,31,3,29173,0.0,0.78125,0.3229166666666667,0.8036679441823898
"MDG","MG",2872.0,0.0,27894.0,55248.0,47.0753348,-16.6980043,1,"","",1996.0,"","",104,61,104,18,104,7,3,8929,0.5865384615384616,0.17307692307692307,0.0673076923076923,0.6425581812892366
"MDG","MG",2880.0,0.0,27929.0,104155.0,47.5833333,-16.1999999,3,"","",2015.0,10.0,0.0,50,0,50,0,50,0,1,859,0.0,0.0,0.0,0.0
"MDG","MG",2871.0,0.0,27887.0,104015.0,46.0,-17.45,1,"","",2015.0,10.0,0.0,50,0,50,0,50,0,1,828,0.0,0.0,0.0,0.0
"MDG","MG",2879.0,0.0,27922.0,12815.0,50.28308833,-14.91431667,3,"","",2015.0,"","",50,2,50,31,50,43,1,9019,0.04,0.62,0.86,0.8952150943396225
"MDG","MG",2880.0,0.0,27931.0,104200.0,47.703911,-15.644120000000001,1,"","",2015.0,9.0,0.0,50,15,50,0,50,0,1,872,0.3,0.0,0.0,0.28301886792452824
"MDG","MG",2870.0,0.0,27884.0,12875.0,46.04979167,-17.50399167,3,"","",2015.0,"","",50,0,50,0,50,0,1,8892,0.0,0.0,0.0,0.0
"MDG","MG",2880.0,0.0,27925.0,104040.0,47.680099,-14.93211,1,"","",2015.0,9.0,0.0,50,10,50,0,50,2,1,831,0.2,0.0,0.04,0.21886792452830187
"MDG","MG",2876.0,0.0,27908.0,12830.0,46.683333,-18.816667,1,"","",2015.0,"","",50,0,50,6,50,2,1,8962,0.0,0.12,0.04,0.14641509433962263
"MDG","MG",2872.0,0.0,27893.0,12865.0,46.113392,-18.9743,1,"","",2015.0,"","",50,5,50,3,50,2,1,8927,0.1,0.06,0.04,0.1772075471698113
"MDG","MG",2867.0,0.0,27863.0,"",44.9797424,-24.568543,3,"","sentinel site",2015.0,7.0,10.0,55,0,55,0,55,1,1,26248,0.0,0.0,0.01818181818181818,0.01715265866209262
"MDG","MG",2867.0,0.0,27863.0,"",44.9797424,-24.568543,3,"","sentinel site",2017.0,7.0,10.0,60,0,60,0,60,0,1,26249,0.0,0.0,0.0,0.0
"MDG","MG",2872.0,0.0,27894.0,"",45.77566667,-18.98186111,3,"","mapping",2015.0,9.0,13.0,50,0,50,1,50,2,1,26300,0.0,0.02,0.04,0.055849056603773574
"MDG","MG",2881.0,0.0,27946.0,55212.0,47.533333,-19.7,1,"","",1995.0,"","",158,24,158,66,158,8,3,9113,0.1518987341772152,0.4177215189873418,0.05063291139240506,0.5011065946905268
"MDG","MG",2881.0,0.0,27936.0,55161.0,46.722099,-19.9216,3,"","",1995.0,"","",12,0,12,9,12,1,3,9057,0.0,0.75,0.08333333333333333,0.7272012578616351
"MDG","MG",2876.0,0.0,27910.0,"",46.76669444,-19.05561111,3,"","mapping",2015.0,10.0,14.0,49,0,49,10,49,2,1,26315,0.0,0.20408163265306123,0.04081632653061224,0.22317744964755248
"MDG","MG",2864.0,0.0,27853.0,12951.0,49.97192833,-16.76881167,3,"","",2015.0,"","",50,1,50,36,50,48,1,8813,0.02,0.72,0.96,0.933041509433962
"MDG","MG","","",0.0,"",48.5167,-17.6167,4,"","",1982.0,0.0,99.0,84,0,84,73,84,28,3,29499,0.0,0.8690476190476191,0.3333333333333333,0.8610362383947289
"MDG","MG",2881.0,0.0,27936.0,55162.0,46.6693,-19.610001,3,"","",1995.0,"","",36,0,36,23,36,2,3,9091,0.0,0.6388888888888888,0.05555555555555555,0.6216515257395759
"MDG","MG",2881.0,0.0,27946.0,12905.0,47.75,-19.633333,1,"","",2015.0,"","",50,0,50,0,50,0,1,9118,0.0,0.0,0.0,0.0
"MDG","MG",2869.0,0.0,27880.0,12920.0,48.1666667,-20.0666666,3,"","",2015.0,"","",50,9,50,25,50,33,1,8874,0.18,0.5,0.66,0.8118867924528301
"MDG","MG",2869.0,0.0,27877.0,12820.0,48.31667,-19.48768,1,"","",2015.0,"","",50,0,50,28,50,15,1,8865,0.0,0.56,0.3,0.6528301886792452
"MDG","MG",2878.0,0.0,27917.0,"",44.76141667,-20.71186111,3,"","mapping",2014.0,5.0,15.0,50,2,50,0,50,0,1,26326,0.04,0.0,0.0,0.03773584905660377
"MDG","MG",2880.0,0.0,27925.0,104041.0,47.3175809,-15.68112,1,"","",2015.0,10.0,0.0,50,19,50,0,50,1,1,832,0.38,0.0,0.02,0.370188679245283
"MDG","MG",2866.0,0.0,27860.0,12775.0,46.3840668,-25.040977,2,"","",2015.0,"","",50,1,50,2,50,19,1,8828,0.02,0.04,0.38,0.3931169811320754
"MDG","MG",2881.0,0.0,27946.0,55213.0,46.409801,-19.518101,3,"","",1995.0,"","",93,9,93,29,93,7,3,9108,0.0967741935483871,0.3118279569892473,0.07526881720430108,0.40114193169788653
"MDG","MG",2876.0,0.0,27909.0,55227.0,46.935398,-18.9856,3,"","",1996.0,"","",53,2,53,34,53,6,3,8967,0.03773584905660377,0.6415094339622641,0.11320754716981132,0.6548016527763008
"MDG","MG",2879.0,0.0,27921.0,104045.0,49.744431,-14.99083,1,"","",2015.0,10.0,0.0,50,1,50,35,50,48,1,836,0.02,0.7,0.96,0.9323018867924527
