"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence"
"ETH","ET",1943.0,3171.0,18602.0,"",38.398998,11.384,3,"","",1995.0,7.0,19.0,95.0,31,95.0,14,95.0,17,3,31529,0.3263157894736842,0.14736842105263157,0.17894736842105263,0.4984752164213387
"ETH","ET",1943.0,3171.0,18602.0,"",37.797001,11.984,3,"","",1995.0,7.0,19.0,85.0,21,85.0,47,85.0,17,3,31541,0.24705882352941178,0.5529411764705883,0.2,0.6893517007246849
"ETH","ET",1943.0,3178.0,18596.0,52304.0,39.4801007,12.1509721,1,"","",1995.0,"","",85.0,21,85.0,47,85.0,17,3,5013,0.24705882352941178,0.5529411764705883,0.2,0.6893517007246849
"ETH","ET",1948.0,3155.0,18815.0,52233.0,35.396301,8.6219397,3,"","",2009.0,"","",103.0,67,103.0,22,103.0,4,1,5130,0.6504854368932039,0.21359223300970873,0.038834951456310676,0.6941634388785778
"ETH","ET",1943.0,3171.0,18602.0,"",37.633333,11.716667,3,"","",1995.0,7.0,19.0,97.0,23,97.0,21,97.0,7,3,31526,0.23711340206185566,0.21649484536082475,0.07216494845360824,0.42019740935546374
"ETH","ET",1948.0,3146.0,18866.0,52315.0,38.7388027,8.8292016,1,"","",2009.0,"","",110.0,22,110.0,6,110.0,0,1,5155,0.2,0.05454545454545454,0.0,0.22984562607204115
"ETH","ET",1943.0,"",26086.0,"",39.43333,9.633333,4,"","",2008.0,6.0,19.0,664.0,3,664.0,23,664.0,0,1,30184,0.004518072289156626,0.03463855421686747,0.0,0.03679257265479285
"ETH","ET",1950.0,3148.0,19118.0,52138.0,37.5641095,6.0206054,1,"","",2015.0,"","",345.0,3,345.0,31,345.0,4,1,5263,0.008695652173913044,0.08985507246376812,0.011594202898550725,0.10210379348614383
"ETH","ET",1950.0,"",3148.0,"",37.560113,6.065267,4,"","",2015.0,"","",345.0,3,345.0,31,345.0,4,1,29520,0.008695652173913044,0.08985507246376812,0.011594202898550725,0.10210379348614383
"ETH","ET",1948.0,"",3189.0,"",40.865,9.084,4,"","",1986.0,5.0,19.0,100.0,0,100.0,24,100.0,7,3,29279,0.0,0.24,0.07,0.2766037735849056
