"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence"
"UGA","UG",5227.0,49810.0,49810.0,17939.0,33.47148,1.398591,3,"","",2005.0,"","",34,13,34,0,34,0,2,17994,0.38235294117647056,0.0,0.0,0.36071032186459484
"UGA","UG",5215.0,49798.0,49798.0,"",33.785702,1.66425,3,"","",2005.0,5.0,16.0,65,21,65,0,65,0,2,30953,0.3230769230769231,0.0,0.0,0.3047895500725689
"UGA","UG",5126.0,49709.0,49709.0,"",33.801498,2.07183,3,"","",1998.0,7.0,14.0,41,29,41,0,41,0,3,30948,0.7073170731707317,0.0,0.0,0.6672802577082374
"UGA","UG",5221.0,49804.0,49804.0,59276.0,33.675499,1.25299,3,"","",2011.0,"","",50,0,50,0,50,0,1,17879,0.0,0.0,0.0,0.0
"UGA","UG",5201.0,49784.0,49784.0,59089.0,30.91989,3.27386,3,"","",2010.0,"","",64,6,64,6,64,0,1,17533,0.09375,0.09375,0.0,0.16859522405660377
"UGA","UG",5168.0,49751.0,49751.0,"",33.8522,1.7178300000000002,3,"","",1998.0,7.0,14.0,40,28,40,0,40,0,3,30860,0.7,0.0,0.0,0.6603773584905659
"UGA","UG",5171.0,49754.0,49754.0,58799.0,31.0622957,3.3859933,1,"","",2010.0,"","",59,3,59,0,59,0,1,17050,0.05084745762711865,0.0,0.0,0.04796929964822513
"UGA","UG",5131.0,49714.0,49714.0,17121.0,33.2140971,2.0974511,1,"","",2012.0,"","",61,0,61,0,61,0,1,16326,0.0,0.0,0.0,0.0
"UGA","UG",5126.0,49709.0,49709.0,"",33.682999,2.32558,3,"","",1998.0,7.0,14.0,42,30,42,0,42,0,3,30901,0.7142857142857143,0.0,0.0,0.6738544474393531
"UGA","UG",5176.0,49759.0,49759.0,"",32.634899,0.255,3,"","",2006.0,9.0,15.0,60,8,60,1,60,6,1,31122,0.13333333333333333,0.016666666666666666,0.1,0.21981132075471696
"UGA","UG",5129.0,49712.0,49712.0,58348.0,31.40896,2.9975801,3,"","",2011.0,"","",50,0,50,0,50,0,1,16282,0.0,0.0,0.0,0.0
"UGA","UG",5222.0,49805.0,49805.0,"",32.965099,2.83623,3,"","",1998.0,8.0,15.0,58,30,58,0,58,0,3,30909,0.5172413793103449,0.0,0.0,0.48796356538711777
"UGA","UG",5215.0,49798.0,49798.0,"",33.7,1.466667,1,"","",2009.0,5.0,18.0,60,2,60,0,60,0,1,29671,0.03333333333333333,0.0,0.0,0.03144654088050314
"UGA","UG",5229.0,49812.0,49812.0,17919.0,33.45528,1.4970088,1,"","",2011.0,"","",50,0,50,0,50,0,1,18021,0.0,0.0,0.0,0.0
"UGA","UG",5173.0,49756.0,49756.0,"",33.9148,1.60301,3,"","",2009.0,5.0,18.0,58,0,58,0,58,0,1,29763,0.0,0.0,0.0,0.0
"UGA","UG",5229.0,49812.0,49812.0,59352.0,33.7084594,1.2803643,1,"","",2011.0,"","",51,0,51,0,51,0,1,18028,0.0,0.0,0.0,0.0
"UGA","UG",5229.0,49812.0,49812.0,17921.0,33.092,1.49599,3,"","",2011.0,"","",50,0,50,0,50,0,1,18025,0.0,0.0,0.0,0.0
"UGA","UG",5126.0,49709.0,49709.0,17132.0,33.65111,1.9914692,1,"","",2013.0,"","",60,0,60,0,60,0,1,16182,0.0,0.0,0.0,0.0
"UGA","UG",5161.0,49743.0,49743.0,"",33.099221,1.4971352,1,"","",2005.0,5.0,16.0,63,7,63,0,63,0,2,30974,0.1111111111111111,0.0,0.0,0.10482180293501046
"UGA","UG",5227.0,49810.0,49810.0,17940.0,33.1654,1.828617,3,"","",2005.0,"","",32,7,32,0,32,0,2,17995,0.21875,0.0,0.0,0.20636792452830185
"UGA","UG",5127.0,49710.0,49710.0,17145.0,32.1569535,2.8949418,1,"","",2013.0,"","",60,0,60,0,60,1,1,16221,0.0,0.0,0.016666666666666666,0.01572327044025157
"UGA","UG",5188.0,49771.0,49771.0,58937.0,32.9393893,2.4937606,1,"","",2012.0,"","",56,0,56,0,56,0,1,17275,0.0,0.0,0.0,0.0
"UGA","UG",5129.0,49712.0,49712.0,58349.0,31.2007883,3.04872,1,"","",2011.0,"","",50,0,50,0,50,0,1,16287,0.0,0.0,0.0,0.0
"UGA","UG",5126.0,49709.0,49709.0,17133.0,33.786563,1.822673,3,"","",2013.0,"","",50,0,50,0,50,0,1,16186,0.0,0.0,0.0,0.0
"UGA","UG",5124.0,49707.0,49707.0,17111.0,31.9121,3.4318,3,"","",2011.0,"","",50,0,50,0,50,0,1,16145,0.0,0.0,0.0,0.0
"UGA","UG",5167.0,49742.0,49742.0,17397.0,32.99142,1.53836,4,"","",2011.0,"","",51,1,51,0,51,0,1,16793,0.0196078431372549,0.0,0.0,0.018497965223825377
