iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,sth_examined,sth_positive,quality,sn
GAB,GA,2053.0,20336.0,20336.0,e.p. obouo,11982.0,13.8714,-1.9495,3,,,2015.0,,,44.0,5.0,,,44.0,8,,,44.0,4.0,,,,,1,5370
GAB,GA,2053.0,20343.0,20343.0,e.p. omoi,11985.0,13.77499,-1.3398,3,,,2015.0,,,36.0,1.0,,,36.0,11,,,36.0,6.0,,,,,1,5414
GAB,GA,2053.0,20345.0,20345.0,e.p. onga,11930.0,14.2701195,-0.8580762,1,,,2015.0,,,124.0,2.0,,,124.0,62,,,124.0,22.0,,,124.0,67.0,1,5437
GAB,GA,2053.0,20345.0,20345.0,e.p. onga,11921.0,14.2701195,-0.8580762,1,,,2015.0,,,126.0,2.0,,,126.0,62,,,126.0,22.0,,,,,1,5435
GAB,GA,2053.0,20345.0,20345.0,e.p. ossiele oguigana,11931.0,14.2192475,-0.9033641,1,,,2015.0,,,15.0,0.0,,,15.0,12,,,15.0,0.0,,,15.0,12.0,1,5434
GAB,GA,2053.0,20345.0,20345.0,e.p. ossiele oguigana,11922.0,14.2192475,-0.9033641,1,,,2015.0,,,17.0,0.0,,,17.0,12,,,17.0,0.0,,,,,1,5436
GAB,GA,2053.0,20336.0,20336.0,e.p. otala,12053.0,13.82051,-1.02092,3,,,2015.0,,,36.0,2.0,,,36.0,21,,,36.0,5.0,,,36.0,23.0,1,5369
GAB,GA,2053.0,20336.0,20336.0,e.p. otala,11983.0,13.82051,-1.02092,3,,,2015.0,,,38.0,2.0,,,38.0,21,,,38.0,5.0,,,,,1,5376
GAB,GA,2053.0,20343.0,20343.0,e.p. reunification,11986.0,13.77483,-1.55986,3,,,2015.0,,,36.0,0.0,,,36.0,4,,,36.0,1.0,,,,,1,5415
GAB,GA,2053.0,20343.0,20343.0,e.p.assiami,11987.0,13.7129887,-1.4222993,1,,,2015.0,,,26.0,2.0,,,26.0,10,,,26.0,0.0,,,,,1,5413
GAB,GA,2053.0,20344.0,20344.0,e.p.ayanabo,12154.0,13.8332,-0.7755,3,,,2015.0,,,28.0,3.0,,,28.0,7,,,28.0,5.0,,,,,1,5428
GAB,GA,2060.0,20375.0,20375.0,e.p.c nkome mbe,11951.0,10.71691,0.99733,3,,,2015.0,,,15.0,0.0,,,16.0,8,,,16.0,14.0,,,16.0,14.0,1,5577
GAB,GA,2053.0,20338.0,20338.0,e.p.c. a bongoville,11925.0,13.8651056,-1.6437743,1,,,2015.0,,,35.0,4.0,,,35.0,6,,,35.0,3.0,,,35.0,9.0,1,5388
GAB,GA,2053.0,20338.0,20338.0,e.p.c. b bongoville,11926.0,13.8651056,-1.6437743,1,,,2015.0,,,96.0,4.0,,,96.0,10,,,96.0,10.0,,,96.0,18.0,1,5387
GAB,GA,2053.0,20337.0,20337.0,e.p.c. bakumba b,12063.0,13.01668,-1.82556,3,,,2015.0,,,83.0,0.0,,,83.0,16,,,83.0,16.0,,,83.0,25.0,1,5385
GAB,GA,2053.0,20337.0,20337.0,e.p.c. bakumba b,11993.0,13.01668,-1.82556,3,,,2015.0,,,98.0,0.0,,,98.0,16,,,98.0,16.0,,,,,1,5383
GAB,GA,2053.0,20342.0,20342.0,e.p.c. moanda a,12046.0,13.2432632,-1.5370282,1,,,2015.0,,,102.0,4.0,,,102.0,19,,,102.0,25.0,,,102.0,29.0,1,5407
GAB,GA,2053.0,20342.0,20342.0,e.p.c. moanda a,11976.0,13.2432632,-1.5370282,1,,,2015.0,,,108.0,4.0,,,108.0,19,,,108.0,25.0,,,,,1,5410
GAB,GA,2053.0,20344.0,20344.0,e.p.c.a okondja,12160.0,13.67334,-0.65161,3,,,2015.0,,,81.0,3.0,,,81.0,18,,,81.0,20.0,,,81.0,28.0,1,5424
