iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,sth_examined,sth_positive,quality,sn
MRT,MR,3220.0,31037.0,31037.0,chinghitty   chinghitty1,13416.0,-12.35666667,20.46,3,,,2015,,,104.0,10.0,,,104.0,3,,,104.0,3.0,,,104,16,1,9483
MRT,MR,3220.0,31037.0,31037.0,chinguitty,13417.0,-12.3664341,20.4615121,1,,,2015,,,0.0,0.0,,,0.0,0,,,0.0,0.0,,,254,34,1,9481
MRT,MR,3229.0,31074.0,31074.0,couve   ecole hafez,13488.0,-15.99002778,18.07744444,3,,,2015,,,50.0,3.0,,,50.0,2,,,50.0,0.0,,,50,5,1,9571
MRT,MR,3230.0,31078.0,31078.0,craya,104740.0,0.0,,99,,,2015,8.0,0.0,105.0,0.0,,,105.0,2,,,105.0,0.0,,,105,2,1,922
MRT,MR,3230.0,31078.0,31078.0,dar el barka,13458.0,-12.33185,16.69212,1,,,2015,,,50.0,1.0,,,50.0,3,,,50.0,0.0,,,50,4,1,9575
MRT,MR,3230.0,31078.0,31078.0,dar el barka,13459.0,-12.33185,16.69212,1,,,2015,,,0.0,0.0,,,0.0,0,,,0.0,0.0,,,44,4,1,9576
MRT,MR,3232.0,31084.0,31084.0,dar el mourad,,-14.39,17.51,3,,,1994,5.0,14.0,44.0,0.0,,,44.0,0,,,44.0,0.0,,,0,0,3,30605
MRT,MR,3229.0,31070.0,31070.0,dar naim,13423.0,-15.9288641,18.1047891,1,,,2015,,,0.0,0.0,,,0.0,0,,,0.0,0.0,,,225,32,1,9555
MRT,MR,3229.0,31070.0,31070.0,dar naim   ecole abdel aziz sy,13418.0,-15.9288641,18.1047891,1,,,2015,,,50.0,3.0,,,50.0,0,,,50.0,0.0,,,50,3,1,9558
MRT,MR,3229.0,31070.0,31070.0,dar naim   ecole ahmed deyd,13419.0,-15.9288641,18.1047891,1,,,2015,,,51.0,5.0,,,51.0,1,,,51.0,0.0,,,51,6,1,9559
MRT,MR,3229.0,31070.0,31070.0,dar naim   ecole hamoudy,13420.0,-15.9288641,18.1047891,1,,,2015,,,35.0,3.0,,,35.0,1,,,35.0,0.0,,,35,4,1,9560
MRT,MR,3229.0,31070.0,31070.0,dar naim   ecole slm ibn veriz,13421.0,-15.9288641,18.1047891,1,,,2015,,,50.0,6.0,,,50.0,3,,,50.0,0.0,,,50,9,1,9557
MRT,MR,3229.0,31070.0,31070.0,dar naim   ecole zd ibn hariz,13422.0,-15.9288641,18.1047891,1,,,2015,,,49.0,6.0,,,49.0,0,,,49.0,0.0,,,49,6,1,9556
MRT,MR,,,24880.0,dieuk,,-15.9,16.516701,4,,,1994,5.0,14.0,96.0,0.0,,,96.0,9,,,96.0,11.0,,,0,0,3,30602
MRT,MR,3231.0,31083.0,31083.0,dragage   ecole4 zire,104793.0,0.0,,99,,,2015,8.0,0.0,51.0,2.0,,,51.0,1,,,51.0,0.0,,,51,3,1,923
MRT,MR,3220.0,31038.0,31038.0,ecole 1,13474.0,-11.61858333,21.01563889,3,,,2015,,,0.0,0.0,,,0.0,0,,,0.0,0.0,,,120,6,1,9487
MRT,MR,3227.0,31065.0,31065.0,eghligue ehawje,13453.0,-9.019166667,15.73833333,3,,,2015,,,0.0,0.0,,,0.0,0,,,0.0,0.0,,,102,10,1,9538
MRT,MR,3221.0,31042.0,31042.0,el ghayrac   ecole el ghadima,13429.0,,,99,,,2015,,,60.0,2.0,,,60.0,4,,,60.0,0.0,,,60,6,1,19679
MRT,MR,3221.0,31042.0,31042.0,el ghayrac   ecole kitaniya,13430.0,,,99,,,2015,,,50.0,1.0,,,50.0,0,,,50.0,0.0,,,50,1,1,19680
MRT,MR,3231.0,31083.0,31083.0,el hay   ecole beder,104794.0,0.0,,99,,,2015,5.0,0.0,50.0,3.0,,,50.0,0,,,50.0,1.0,,,50,4,1,924
MRT,MR,3231.0,31083.0,31083.0,el heit   ecole heit,104795.0,0.0,,99,,,2015,7.0,0.0,50.0,1.0,,,50.0,1,,,50.0,0.0,,,50,2,1,925
MRT,MR,3231.0,31082.0,31082.0,"el kousla,",13426.0,-12.7,22.68,3,,,2015,,,0.0,0.0,,,0.0,0,,,0.0,0.0,,,227,9,1,9584
MRT,MR,3231.0,31082.0,31082.0,fdacrik   ecole aiba,13427.0,,,99,,,2015,,,114.0,2.0,,,114.0,1,,,114.0,1.0,,,114,4,1,19696
MRT,MR,3231.0,31082.0,31082.0,fdacrik   ecole cheikh el welly,13428.0,,,99,,,2015,,,113.0,3.0,,,113.0,2,,,113.0,0.0,,,113,5,1,19697
MRT,MR,3231.0,31082.0,31082.0,fderik   ecole aiba,104709.0,-12.7106394,22.6786807,1,,,2015,7.0,0.0,114.0,2.0,,,114.0,1,,,114.0,1.0,,,114,4,1,919
MRT,MR,3231.0,31082.0,31082.0,fderik   ecole cheikh el welly,104710.0,-12.7106394,22.6786807,1,,,2015,6.0,0.0,113.0,3.0,,,113.0,2,,,113.0,0.0,,,113,5,1,920
MRT,MR,3232.0,31088.0,31088.0,gani,,-15.447,16.59,3,,,1994,5.0,14.0,37.0,2.0,,,37.0,1,,,37.0,2.0,,,0,0,3,30610
MRT,MR,3232.0,31089.0,31089.0,garak,,-15.76,16.55,1,,,1994,5.0,14.0,94.0,0.0,,,94.0,5,,,94.0,12.0,,,0,0,3,29108
MRT,MR,3221.0,31043.0,31043.0,garalla,13442.0,-11.52701,15.766667,1,,,2015,,,0.0,0.0,,,0.0,0,,,0.0,0.0,,,91,7,1,9498
MRT,MR,3221.0,31043.0,31043.0,garalla   ecole garalla,13440.0,-11.5,15.766667,1,,,2015,,,100.0,2.0,,,100.0,4,,,100.0,0.0,,,100,6,1,9500
MRT,MR,3231.0,31082.0,31082.0,ghaa?ra,13432.0,,,99,,,2015,,,0.0,0.0,,,0.0,0,,,0.0,0.0,,,87,7,1,19695
MRT,MR,3221.0,31042.0,31042.0,ghaa?ra,13431.0,,,99,,,2015,,,0.0,0.0,,,0.0,0,,,0.0,0.0,,,89,7,1,19678
MRT,MR,3230.0,31080.0,31080.0,ghoudiya   ghoudiya,13496.0,-11.68833333,17.82583333,3,,,2015,,,151.0,10.0,,,151.0,5,,,151.0,0.0,,,151,15,1,9577
MRT,MR,3230.0,31080.0,31080.0,ghoudya,13497.0,-11.75277778,17.825,3,,,2015,,,0.0,0.0,,,0.0,0,,,0.0,0.0,,,81,11,1,9581
MRT,MR,3227.0,31065.0,31065.0,gligh ehel ewadje,13454.0,-9.019166667,15.61666667,3,,,2015,,,8.0,4.0,,,73.0,3,,,73.0,1.0,,,73,8,1,9537
MRT,MR,3227.0,31064.0,31064.0,gligue smalil,13369.0,-9.5675,16.48583333,3,,,2015,,,0.0,0.0,,,0.0,0,,,0.0,0.0,,,102,2,1,9534
MRT,MR,3227.0,31064.0,31064.0,gligue smalile,13370.0,-9.5675,16.48583333,3,,,2015,,,2.0,1.0,,,127.0,1,,,127.0,0.0,,,127,2,1,9532
MRT,MR,3226.0,31059.0,31059.0,gneiba,13406.0,-5.9468,15.861876,1,,,2015,,,0.0,0.0,,,0.0,0,,,0.0,0.0,,,113,3,1,9519
MRT,MR,3227.0,31065.0,31065.0,gogui zemal,13455.0,-9.36528,15.8208315,1,,,2015,,,4.0,3.0,,,128.0,1,,,128.0,0.0,,,128,4,1,9536
MRT,MR,3227.0,31065.0,31065.0,gogui zemal,13456.0,-9.36528,15.8208315,1,,,2015,,,0.0,0.0,,,0.0,0,,,0.0,0.0,,,113,4,1,9539
MRT,MR,3227.0,31064.0,31064.0,goungelle,13371.0,-9.5499999,16.4,3,,,2015,,,0.0,0.0,,,0.0,0,,,0.0,0.0,,,88,6,1,9533
MRT,MR,3227.0,31064.0,31064.0,gounguel,13372.0,-9.566111111,16.50138889,3,,,2015,,,6.0,4.0,,,128.0,1,,,128.0,1.0,,,128,6,1,9535
MRT,MR,3226.0,31063.0,31063.0,hay edebay,13502.0,-8.168583333,16.735,3,,,2015,,,128.0,3.0,,,128.0,2,,,128.0,0.0,,,128,5,1,9531
