iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence,shortest,id,src,dst
ZAF,ZA,4465.0,43282.0,43282.0,boneha primary school,,28.328,-26.552,3,school,mapping,2017.0,5.0,16.0,33,1,0.0,0.0,33,11,0.0,0.0,33,0,0.0,0.0,1,36347,0.0303030303030303,0.3333333333333333,0.0,0.3335239184295788,318.95340535563923,21,21,21
ZAF,ZA,4465.0,43281.0,43281.0,bonwelong primary school,,28.2001,-25.999,3,school,mapping,2017.0,5.0,16.0,44,2,0.0,0.0,44,7,0.0,0.0,44,0,0.0,0.0,1,36336,0.0454545454545454,0.1590909090909091,0.0,0.186145329798846,14648.324599531805,22,22,22
ZAF,ZA,4469.0,43304.0,43304.0,borite primary school,,27.1967,-25.2889,3,school,mapping,2017.0,5.0,16.0,43,1,0.0,0.0,43,15,0.0,0.0,43,0,0.0,0.0,1,36632,0.0232558139534883,0.3488372093023256,0.0,0.3433778585058726,38708.61181297185,23,23,23
ZAF,ZA,4465.0,43283.0,43283.0,boschkop primary school,,28.5008,-25.8582,3,school,mapping,2017.0,5.0,16.0,49,6,16.67,33.33,49,6,0.0,0.0,49,0,0.0,0.0,1,36361,0.1224489795918367,0.1224489795918367,0.0,0.2168907609250862,19321.298684314843,24,24,24
ZAF,ZA,4465.0,43281.0,43281.0,bottom mine primary school,,27.7645,-26.2189,3,school,mapping,2017.0,5.0,16.0,50,1,100.0,0.0,50,20,0.0,0.0,50,0,0.0,0.0,1,36337,0.02,0.4,0.0,0.3886792452830188,5518.608071146028,25,25,25
ZAF,ZA,4465.0,43284.0,43284.0,brandvlei primary farm school,,27.5948,-26.1349,3,school,mapping,2017.0,5.0,16.0,49,2,50.0,0.0,49,20,0.0,0.0,49,1,0.0,0.0,1,36375,0.0408163265306122,0.4081632653061224,0.0204081632653061,0.4187784675137765,9600.524565266576,26,26,26
ZAF,ZA,4471.0,43314.0,43314.0,brandwacht,56803.0,18.8692596,-33.9554117,1,,,2001.0,,,0,0,,,25,2,,,25,5,,,2,18246,,0.08,0.2,,10447.716124963223,27,27,27
ZAF,ZA,4463.0,43269.0,43269.0,breidbach primary school,,27.4429,-32.8865,3,school,mapping,2017.0,5.0,15.0,26,0,0.0,0.0,26,4,0.0,0.0,26,0,0.0,0.0,1,36287,0.0,0.1538461538461538,0.0,0.1451378809869375,7407.936500319745,28,28,28
ZAF,ZA,4463.0,43267.0,43267.0,buffalonek jr primary school,,28.8575,-30.8261,3,school,mapping,2017.0,5.0,15.0,24,1,0.0,0.0,24,7,0.0,0.0,24,0,0.0,0.0,1,36277,0.0416666666666666,0.2916666666666667,0.0,0.3030005241090147,42456.60400111972,29,29,29
ZAF,ZA,4465.0,43284.0,43284.0,bulelani primary school,,27.6981,-26.2297,3,school,mapping,2017.0,5.0,16.0,50,3,0.0,0.0,50,17,0.0,0.0,50,1,0.0,100.0,1,36376,0.06,0.34,0.02,0.3698188679245283,3706.0754356615657,30,30,30
ZAF,ZA,4463.0,43270.0,43270.0,cala river sr primary school,,27.6164,-31.5034,3,school,mapping,2017.0,5.0,15.0,12,0,0.0,0.0,12,3,0.0,0.0,12,0,0.0,0.0,1,36291,0.0,0.25,0.0,0.2358490566037735,9810.847607702719,31,31,31
ZAF,ZA,4468.0,43302.0,43302.0,carolina combined,,30.117,-26.0674,3,school,mapping,2018.0,5.0,15.0,46,0,0.0,0.0,46,24,0.0,0.0,46,0,0.0,0.0,1,36608,0.0,0.5217391304347826,0.0,0.4922067268252665,48385.43354542123,32,32,32
ZAF,ZA,4463.0,43268.0,43268.0,cilo primary school,,28.3336,-32.3438,3,school,mapping,2017.0,5.0,15.0,50,0,0.0,0.0,50,22,40.9,0.0,50,1,0.0,0.0,1,36281,0.0,0.44,0.02,0.4256603773584905,18578.39299101983,33,33,33
ZAF,ZA,4463.0,43273.0,43273.0,dalindyebo sps primary school,,29.0397,-31.7337,3,school,mapping,2017.0,5.0,15.0,42,0,0.0,0.0,42,8,50.0,0.0,42,0,0.0,0.0,1,36309,0.0,0.1904761904761904,0.0,0.1796945193171608,994.3690959878378,34,34,34
ZAF,ZA,4465.0,43280.0,43280.0,dalpark primary school,,28.3291,-26.2537,3,school,mapping,2017.0,5.0,16.0,47,5,0.0,0.0,47,15,0.0,0.0,47,0,0.0,0.0,1,36323,0.1063829787234042,0.3191489361702128,0.0,0.3694150003843624,12222.056162647968,35,35,35
ZAF,ZA,4471.0,43316.0,43316.0,de rust,56817.0,22.5304693,-33.4907417,1,,,2001.0,,,0,0,,,30,1,,,30,19,,,2,18252,,0.0333333333333333,0.6333333333333333,,106185.06395984229,36,36,36
ZAF,ZA,4465.0,43284.0,43284.0,die poort primary farm school,,27.6493,-25.8726,3,school,mapping,2017.0,5.0,16.0,49,5,20.0,0.0,49,18,0.0,0.0,49,0,0.0,0.0,1,36377,0.1020408163265306,0.3673469387755102,0.0,0.407456012824845,3867.8009520295577,37,37,37
ZAF,ZA,4465.0,43283.0,43283.0,dikago dintle primary school,,28.0068,-25.4373,3,school,mapping,2017.0,5.0,16.0,50,7,28.57,0.0,50,14,0.0,0.0,50,0,0.0,0.0,1,36362,0.14,0.28,0.0,0.3592452830188679,3161.155162829259,38,38,38
ZAF,ZA,4469.0,43306.0,43306.0,dikhudu primary school,,25.7649,-25.3295,3,school,mapping,2017.0,5.0,16.0,25,0,0.0,0.0,25,9,0.0,0.0,25,0,0.0,0.0,1,36657,0.0,0.36,0.0,0.3396226415094339,20485.762627757078,39,39,39
ZAF,ZA,4465.0,43282.0,43282.0,dinokeng primary farm school,,27.8072,-26.636,3,school,mapping,2017.0,5.0,16.0,42,2,0.0,0.0,42,3,0.0,0.0,42,0,0.0,0.0,1,36348,0.0476190476190476,0.0714285714285714,0.0,0.1091002438711333,6101.48381689711,40,40,40
ZAF,ZA,4465.0,43281.0,43281.0,donaldson primary school,,27.8743,-26.2538,3,school,mapping,2017.0,5.0,16.0,50,2,50.0,0.0,50,12,0.0,0.0,50,0,0.0,0.0,1,36338,0.04,0.24,0.0,0.2550943396226414,5660.431955531953,41,41,41
ZAF,ZA,4466.0,43295.0,43295.0,dormers,56899.0,30.165001,-29.4133,3,,,0.0,,,75,2,,,75,34,,,75,4,,,3,18209,0.0266666666666666,0.4533333333333333,0.0533333333333333,0.4681973445143255,43461.36972404396,42,42,42
ZAF,ZA,4465.0,43281.0,43281.0,dr knak primary school,,28.0971,-26.1066,3,school,mapping,2017.0,5.0,16.0,45,0,0.0,0.0,45,8,0.0,0.0,45,0,0.0,0.0,1,36339,0.0,0.1777777777777777,0.0,0.1677148846960167,489.46291730638745,43,43,43
ZAF,ZA,4465.0,43282.0,43282.0,dr nhlapo intermediate school,,27.8487,-26.668,3,school,mapping,2017.0,5.0,16.0,37,1,0.0,0.0,37,3,0.0,0.0,37,0,0.0,0.0,1,36349,0.027027027027027,0.081081081081081,0.0,0.0999214410739142,2868.269202514988,44,44,44
ZAF,ZA,4469.0,43306.0,43306.0,duikerbos primary school,,25.348,-26.5392,3,school,mapping,2017.0,5.0,16.0,41,2,0.0,0.0,41,12,0.0,0.0,41,0,0.0,0.0,1,36659,0.048780487804878,0.2926829268292683,0.0,0.3086662251804294,4480.8411698962755,45,45,45
ZAF,ZA,4468.0,43303.0,43303.0,dumezizweni,,30.25,-25.6951,3,school,mapping,2018.0,5.0,15.0,48,0,0.0,0.0,48,2,0.0,0.0,48,0,0.0,0.0,1,36620,0.0,0.0416666666666666,0.0,0.0393081761006289,44370.24259833695,46,46,46
ZAF,ZA,4466.0,43287.0,43287.0,ekhuza hp,56842.0,30.063299,-30.5783,3,,,0.0,,,90,0,,,90,21,,,90,51,,,3,18160,0.0,0.2333333333333333,0.5666666666666667,0.6299790356394129,6591.290556113908,47,47,47
