iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,asc_examined,asc_positive,tt_examined,tt_positive,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence,shortest,id,src,dst
TZZ,ZZ,5442,51893,51893,bagamoyo,18025.0,39.7504425,-5.106498,1,,,2011.0,,,86,61,86,48,86,78,1,16051,0.7093023255813954,0.5581395348837209,0.9069767441860463,0.9321239307040958,2733.4170023856263,0,0,0
TZZ,ZZ,5444,51897,51897,chambani,18019.0,39.7845701,-5.3279782,1,,,2011.0,,,102,65,102,54,102,85,1,16105,0.6372549019607843,0.5294117647058824,0.8333333333333334,0.916556041580524,3516.291168295088,1,1,1
TZZ,ZZ,5444,51896,51896,chanjamjawiri,17983.0,39.7607472,-5.2909205,1,,,2011.0,,,100,35,100,41,100,77,1,20008,0.35,0.41,0.77,0.8601839622641506,2735.2532640889553,2,2,2
TZZ,ZZ,5443,51895,51895,fujoni,17995.0,39.2005218,-6.0049053,1,,,2011.0,,,107,29,107,15,107,53,1,16078,0.2710280373831775,0.1401869158878504,0.4953271028037383,0.6449823655785728,4428.793215414766,3,3,3
TZZ,ZZ,5446,51900,51900,fuoni,18006.0,39.266701,-6.1999998,3,,,2011.0,,,113,5,113,10,113,22,1,16122,0.0442477876106194,0.0884955752212389,0.1946902654867256,0.28154378257442,5874.147726326726,4,4,4
TZZ,ZZ,5445,51899,51899,jambiani,18002.0,39.5446313,-6.3158921,1,,,2011.0,,,106,2,106,2,106,17,1,16112,0.0188679245283018,0.0188679245283018,0.160377358490566,0.1809078559342579,10376.247121494718,5,5,5
TZZ,ZZ,5442,51893,51893,kangagani,18026.0,39.8263986,-5.167987,1,,,2011.0,,,100,26,100,51,100,93,1,16061,0.26,0.51,0.93,0.9194509433962264,6122.242808295459,6,6,6
TZZ,ZZ,5442,51892,51892,kinowe,18010.0,39.75,-4.9666666,3,,,2011.0,,,99,70,99,65,99,86,1,16038,0.7070707070707071,0.6565656565656566,0.8686868686868687,0.9309336217641684,2787.5412743169,7,7,7
TZZ,ZZ,5443,51894,51894,kinyasini,17990.0,39.3089485,-5.9697735,1,,,2011.0,,,102,7,102,15,102,61,1,16076,0.0686274509803921,0.1470588235294117,0.5980392156862745,0.6421508887770903,7430.021463039642,8,8,8
TZZ,ZZ,5443,51894,51894,kitope,17991.0,39.251667,-6.0157708,1,,,2011.0,,,115,33,115,55,115,79,1,16070,0.2869565217391304,0.4782608695652174,0.6869565217391305,0.8335289857657039,1523.1043860442164,9,9,9
TZZ,ZZ,5442,51893,51893,kiuyu minungwini,18027.0,39.8643411,-4.9483484,1,,,2011.0,,,100,59,100,52,100,86,1,20004,0.59,0.52,0.86,0.9174037735849052,8521.794714503083,10,10,10
TZZ,ZZ,5442,51893,51893,kizimbani,18028.0,39.734474,-5.055479,1,,,2011.0,,,100,29,100,46,100,70,1,16058,0.29,0.46,0.7,0.83488679245283,5276.179079695591,11,11,11
TZZ,ZZ,5446,51900,51900,kombeni,18007.0,39.2555847,-6.2525294,1,,,2011.0,,,100,3,100,5,100,22,1,16119,0.03,0.05,0.22,0.265311320754717,5907.385466524248,12,12,12
TZZ,ZZ,5442,51892,51892,konde a,18011.0,39.8630553,-5.0791171,1,,,2011.0,,,100,42,100,53,100,66,1,16040,0.42,0.53,0.66,0.8559584905660376,8460.168867462702,13,13,13
TZZ,ZZ,5442,51892,51892,konde b,18012.0,39.7433571,-4.9426131,1,,,2011.0,,,101,65,101,47,101,88,1,16041,0.6435643564356436,0.4653465346534653,0.8712871287128713,0.9202558922467664,2787.5412743169,14,14,14
TZZ,ZZ,5443,51895,51895,mahonda,17997.0,39.2401484,-6.0084272,1,,,2011.0,,,89,5,89,33,89,59,1,16079,0.0561797752808988,0.3707865168539326,0.6629213483146067,0.7545480990907747,1523.1043860442164,15,15,15
TZZ,ZZ,5445,51898,51898,mchangani,17998.0,39.3166667,-6.0499999,3,,,2011.0,,,118,36,118,29,118,70,1,16107,0.3050847457627119,0.2457627118644068,0.5932203389830508,0.7422586516763715,3885.288400582879,16,16,16
TZZ,ZZ,5444,51896,51896,michakaini,17984.0,39.7719192,-5.2403142,1,,,2011.0,,,84,11,84,25,84,50,1,16089,0.1309523809523809,0.2976190476190476,0.5952380952380952,0.7103135129463585,4551.061736427135,17,17,17
TZZ,ZZ,5444,51897,51897,mizingani,18020.0,39.7,-5.3499999,3,,,2011.0,,,93,47,93,33,93,86,1,16102,0.5053763440860215,0.3548387096774194,0.9247311827956988,0.9207366174425364,3650.9445382339045,18,18,18
TZZ,ZZ,5444,51897,51897,mkanyageni,18021.0,39.6685877,-5.4013543,1,,,2011.0,,,123,53,123,49,123,111,1,16100,0.4308943089430894,0.3983739837398374,0.902439024390244,0.9118832222971416,3796.4975686910993,19,19,19
TZZ,ZZ,5444,51897,51897,mtambile,18022.0,39.6969592,-5.3825125,1,,,2011.0,,,93,37,93,40,93,80,1,16104,0.3978494623655914,0.4301075268817204,0.8602150537634409,0.8981426884959861,3650.9445382339045,20,20,20
TZZ,ZZ,5445,51899,51899,mtende,18004.0,39.5276036,-6.4547044,3,,,2011.0,,,117,2,117,5,117,12,1,16114,0.017094017094017,0.0427350427350427,0.1025641025641025,0.1467936410191381,598.7657069512162,21,21,21
TZZ,ZZ,5446,51900,51900,mtopepo,18008.0,39.2216902,-6.146567,1,,,2011.0,,,101,3,101,11,101,51,1,16115,0.0297029702970297,0.1089108910891089,0.504950495049505,0.5395940988338762,2852.9191675420016,22,22,22
TZZ,ZZ,5445,51899,51899,muyuni,18005.0,39.4666667,-6.3666666,3,,,2011.0,,,108,5,108,53,108,71,1,16113,0.0462962962962962,0.4907407407407407,0.6574074074074074,0.7864233897367616,10376.247121494718,23,23,23
TZZ,ZZ,5445,51898,51898,mwera,18000.0,39.2833333,-6.1499999,3,,,2011.0,,,106,18,106,22,106,67,1,16109,0.1698113207547169,0.2075471698113207,0.6320754716981132,0.7150451284275318,5896.663856826746,24,24,24
TZZ,ZZ,5442,51893,51893,mzambarauni,18029.0,39.5304121,-6.4501461,1,,,2011.0,,,98,51,98,39,98,80,1,16064,0.5204081632653061,0.3979591836734694,0.8163265306122449,0.8933653302267683,598.7657069512162,25,25,25
TZZ,ZZ,5444,51897,51897,ngwachani,18023.0,39.7549511,-5.3146961,1,,,2011.0,,,100,50,100,59,100,92,1,16106,0.5,0.59,0.92,0.9279245283018868,2735.2532640889553,26,26,26
TZZ,ZZ,5443,51894,51894,nungwi,17992.0,39.2985684,-5.725856,1,,,2011.0,,,106,0,106,26,106,95,1,16072,0.0,0.2452830188679245,0.8962264150943396,0.8695097295082518,22973.58547448665,27,27,27
TZZ,ZZ,5446,51901,51901,nyerere,18017.0,39.202999,-6.164,3,,,2011.0,,,73,2,73,7,73,34,1,16125,0.0273972602739726,0.0958904109589041,0.4657534246575342,0.5002036822274003,131.1381776090532,28,28,28
TZZ,ZZ,5442,51893,51893,piki,18030.0,39.7697624,-5.1215927,1,,,2011.0,,,98,52,98,36,98,83,1,16060,0.5306122448979592,0.3673469387755102,0.8469387755102041,0.9005160377117928,2733.4170023856263,29,29,29
TZZ,ZZ,5444,51896,51896,pujini,17985.0,39.799,-5.3000002,3,,,2011.0,,,100,40,100,49,100,89,1,16095,0.4,0.49,0.89,0.911641509433962,3516.291168295088,30,30,30
TZZ,ZZ,5443,51894,51894,pwani mchangani,17993.0,39.356286,-5.9229729,1,,,2011.0,,,118,2,118,15,118,71,1,16068,0.0169491525423728,0.1271186440677966,0.6016949152542372,0.6209619638318002,7430.021463039642,31,31,31
TZZ,ZZ,5446,51901,51901,rahaleo,18018.0,39.2018214,-6.1640318,1,,,2011.0,,,85,4,85,1,85,13,1,16124,0.0470588235294117,0.0117647058823529,0.1529411764705882,0.1908483077242126,131.1381776090532,32,32,32
TZZ,ZZ,5446,51900,51900,regezamwendo,18009.0,39.2166667,-6.2166666,3,,,2011.0,,,85,15,85,8,85,23,1,16121,0.1764705882352941,0.0941176470588235,0.2705882352941176,0.4300412075778929,5874.147726326726,33,33,33
