iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,shortest,id,src,dst
CIV,CI,1609.0,15340.0,15340.0,epp abbia,,-3.97223,5.27144,3,school,mapping,2014.0,7.0,14.0,30,0,0.0,0.0,30,0,0.0,0.0,30,6,0.0,0.0,1,23855,786.2969086759318,27,27,27
CIV,CI,1608.0,15329.0,15329.0,epp abobo doume bad,,-4.04307,5.31532,3,school,mapping,2014.0,7.0,12.0,30,0,0.0,0.0,30,6,0.0,0.0,30,0,0.0,0.0,1,23688,330.6255424313684,28,28,28
CIV,CI,1608.0,15329.0,15329.0,epp abobo doume jerusalem 3,,-4.04195,5.3208,3,school,mapping,2014.0,8.0,12.0,30,0,0.0,0.0,30,0,0.0,0.0,30,1,0.0,0.0,1,23689,625.2252896777089,29,29,29
CIV,CI,1609.0,15335.0,15335.0,epp abobote 3,,-3.99887,5.41094,3,school,mapping,2014.0,8.0,12.0,30,1,0.0,0.0,30,0,0.0,0.0,30,0,0.0,0.0,1,23778,2.4980966178822275,30,30,30
CIV,CI,1623.0,15391.0,15391.0,epp abognikro,,-4.26204,7.11241,3,school,mapping,2014.0,7.0,13.0,34,7,0.0,0.0,34,2,0.0,0.0294,34,0,0.0,0.0,1,24653,7072.9421297962745,31,31,31
CIV,CI,1619.0,15381.0,15381.0,epp adamakro 1,,-3.23036,6.3039,3,school,mapping,2014.0,8.0,13.0,30,3,0.0,0.0333,30,0,0.0,0.0,30,0,0.0,0.0,1,24467,9716.378665339269,32,32,32
CIV,CI,1608.0,15332.0,15332.0,epp adesse,,-4.70015,5.16774,3,school,mapping,2014.0,7.0,12.0,31,1,0.0,0.0,31,0,0.0,0.0,31,0,0.0,0.0,1,23733,5289.289159226303,33,33,33
CIV,CI,1609.0,15339.0,15339.0,epp adjouffou b,,-3.92049,5.24714,3,school,mapping,2014.0,7.0,14.0,31,1,0.0,0.0,31,2,0.0,0.0,31,4,0.0,0.0,1,23841,931.5855634959472,34,34,34
CIV,CI,1619.0,15379.0,15379.0,epp affalikro 3,,-3.38734,6.64172,3,school,mapping,2014.0,8.0,13.0,30,2,0.0,0.0,30,0,0.0,0.0,30,0,0.0,0.0,1,24437,2951.4824188993653,35,35,35
CIV,CI,1619.0,15380.0,15380.0,epp agnanfoutou 1,,-3.14477,7.11531,3,school,mapping,2014.0,7.0,14.0,30,5,0.0,0.0,30,0,0.0,0.0,30,0,0.0,0.0,1,24452,4870.082962328835,36,36,36
