iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence,shortest,id,src,dst
MLI,ML,3113.0,29984.0,29984.0,boutinguisse,55388.0,-11.6461,15.1383,3,,,2004.0,,,32,1,,,32,0,,,32,0,,,2,9184,0.03125,0.0,0.0,0.0294811320754716,19963.214523557912,35,35,35
MLI,ML,3111.0,29973.0,29973.0,bozola,55323.0,-7.9885791,12.6375243,1,,,2004.0,,,74,0,,,74,0,,,74,1,,,2,9126,0.0,0.0,0.0135135135135135,0.012748597654258,1447.3296789164558,36,36,36
MLI,ML,3111.0,29972.0,29972.0,commune 1,13340.0,-7.956562,12.6662607,1,,,2014.0,,,122,0,,,122,0,,,122,0,,,1,9124,0.0,0.0,0.0,0.0,1317.4048992608195,37,37,37
MLI,ML,3111.0,29973.0,29973.0,commune 2,13341.0,-7.9749531,12.6564501,1,,,2014.0,,,120,0,,,120,0,,,120,0,,,1,9127,0.0,0.0,0.0,0.0,841.0471675500165,38,38,38
MLI,ML,3111.0,29974.0,29974.0,commune 3,13342.0,-8.0097045,12.6347543,1,,,2014.0,,,119,0,,,119,0,,,119,1,,,1,9130,0.0,0.0,0.0084033613445378,0.0079276993816394,914.5978849749064,39,39,39
MLI,ML,3111.0,29975.0,29975.0,commune 4,13343.0,-8.0274274,12.6299491,1,,,2014.0,,,119,0,,,119,0,,,119,0,,,1,9133,0.0,0.0,0.0,0.0,1830.7093871735437,40,40,40
MLI,ML,3111.0,29976.0,29976.0,commune 5,13344.0,-8.0013996,12.6075427,1,,,2014.0,,,119,0,,,119,0,,,119,0,,,1,9138,0.0,0.0,0.0,0.0,857.8886864924417,41,41,41
MLI,ML,3111.0,29977.0,29977.0,commune 6,13345.0,-7.964251,12.6012134,1,,,2014.0,,,120,0,,,120,0,,,120,0,,,1,9145,0.0,0.0,0.0,0.0,450.6488996358115,42,42,42
MLI,ML,3113.0,29984.0,29984.0,dakassenou,55389.0,-12.0155942,14.2911656,1,,,2004.0,,,69,0,,,69,0,,,69,0,,,2,9178,0.0,0.0,0.0,0.0,21616.484201626015,43,43,43
MLI,ML,3115.0,30002.0,30002.0,dalibougou,55448.0,-7.269000099999999,14.316,3,,,2004.0,,,66,4,,,66,0,,,66,3,,,2,9254,0.0606060606060606,0.0,0.0454545454545454,0.0974582878527989,53832.90459251842,44,44,44
MLI,ML,3111.0,29974.0,29974.0,darsalam,55325.0,-8.0042522,12.6520099,1,,,2004.0,,,66,0,,,66,0,,,66,0,,,2,9131,0.0,0.0,0.0,0.0,1465.7114689524756,45,45,45
MLI,ML,3116.0,30007.0,30007.0,debere,55352.0,-3.0112312,15.1057238,1,,,2004.0,,,70,1,,,70,0,,,70,0,,,2,9273,0.0142857142857142,0.0,0.0,0.013477088948787,25535.26126075214,46,46,46
MLI,ML,3113.0,29987.0,29987.0,diabaguela,55457.0,-9.0167999,15.0455,3,,,2004.0,,,67,0,,,67,0,,,67,0,,,2,9213,0.0,0.0,0.0,0.0,53191.690414838005,47,47,47
MLI,ML,3113.0,29984.0,29984.0,diakalel,55390.0,-11.4452717,14.4367876,1,,,2004.0,,,55,0,,,55,0,,,55,0,,,2,9182,0.0,0.0,0.0,0.0,0.0,48,48,106
MLI,ML,3113.0,29983.0,29983.0,dianguirde,55338.0,-9.0144988,14.4936841,1,,,2004.0,,,61,1,,,61,0,,,61,0,,,2,9173,0.0163934426229508,0.0,0.0,0.0154655119084441,19207.622005484413,49,49,49
MLI,ML,3113.0,29982.0,29982.0,diatawali,55297.0,-10.9518161,13.7195326,1,,,2004.0,,,59,1,,,59,0,,,59,0,,,2,9169,0.0169491525423728,0.0,0.0,0.0159897665494083,9885.796925497047,50,50,50
MLI,ML,3117.0,30013.0,30013.0,diebala,55311.0,-5.6185002,12.9917,3,,,2004.0,,,140,89,,,140,1,,,140,1,,,2,9295,0.6357142857142857,0.0071428571428571,0.0071428571428571,0.6046224352274602,36535.81320010084,51,51,51
MLI,ML,3113.0,29983.0,29983.0,diema,13346.0,-9.1926741,14.5390184,1,,,2014.0,,,119,0,,,119,0,,,119,0,,,1,9175,0.0,0.0,0.0,0.0,20508.004689948884,52,52,52
MLI,ML,3115.0,30002.0,30002.0,dilly 1c,55449.0,-7.6697323,14.9981492,1,,,2004.0,,,67,1,,,67,0,,,67,0,,,2,9255,0.0149253731343283,0.0,0.0,0.0140805406927626,12569.421691217565,53,53,53
MLI,ML,3113.0,29984.0,29984.0,dindimaye,55391.0,-11.5923,14.9731,3,,,2004.0,,,38,0,,,38,0,,,38,0,,,2,9177,0.0,0.0,0.0,0.0,19963.214523557912,54,54,54
MLI,ML,3115.0,29995.0,29995.0,dioila,55343.0,-6.797592,12.4957874,1,,,2004.0,,,67,2,,,67,0,,,67,0,,,2,9220,0.0298507462686567,0.0,0.0,0.0281610813855252,0.0,55,55,56
MLI,ML,3115.0,29995.0,29995.0,dioila,13347.0,-6.797592,12.4957874,1,,,2005.0,,,250,0,,,250,0,,,250,0,,,2,9222,0.0,0.0,0.0,0.0,0.0,56,56,55
MLI,ML,3116.0,30007.0,30007.0,diona,55353.0,-3.2368,15.3244,3,,,2004.0,,,69,0,,,69,0,,,69,0,,,2,9277,0.0,0.0,0.0,0.0,30565.68943131729,57,57,57
MLI,ML,3116.0,30010.0,30010.0,diondori,55479.0,-4.7740002,14.6113,3,,,2004.0,,,70,0,,,70,0,,,70,0,,,2,9290,0.0,0.0,0.0,0.0,12614.906230865543,58,58,58
MLI,ML,3115.0,29999.0,29999.0,diorila,55380.0,-8.0921268,12.107766,1,,,2004.0,,,66,2,,,66,0,,,66,0,,,2,9238,0.0303030303030303,0.0,0.0,0.028587764436821,24368.538733194855,59,59,59
MLI,ML,3116.0,30010.0,30010.0,dioura,55480.0,-5.2490795,14.8255736,1,,,2004.0,,,70,0,,,70,0,,,70,0,,,2,9291,0.0,0.0,0.0,0.0,58353.27415250323,60,60,60
MLI,ML,3112.0,29980.0,29980.0,djebock,55361.0,0.27950001,16.3442,3,,,2004.0,,,66,0,,,66,0,,,66,0,,,2,9157,0.0,0.0,0.0,0.0,33506.17560122858,61,61,61
MLI,ML,3113.0,29986.0,29986.0,djeguila,55408.0,-8.9299002,13.1091,3,,,2004.0,,,70,2,,,70,0,,,70,0,,,2,9197,0.0285714285714285,0.0,0.0,0.0269541778975741,36809.17176448891,62,62,62
MLI,ML,3116.0,30006.0,30006.0,djenne,13348.0,-4.5559954000000005,13.9053952,1,,,2014.0,,,121,0,,,121,0,,,121,0,,,1,9269,0.0,0.0,0.0,0.0,22131.67246552429,63,63,63
MLI,ML,3111.0,29975.0,29975.0,djicoroni,55328.0,-8.0107411,12.5953273,1,,,2004.0,,,70,0,,,70,0,,,70,0,,,2,9135,0.0,0.0,0.0,0.0,0.0,64,64,6
MLI,ML,3113.0,29982.0,29982.0,djimekourou,55298.0,-11.0138809,13.5057066,1,,,2004.0,,,70,3,,,70,0,,,70,0,,,2,9166,0.0428571428571428,0.0,0.0,0.0404312668463611,25446.868381229597,65,65,65
MLI,ML,3117.0,30013.0,30013.0,djina,55312.0,-5.9088122,13.140833,1,,,2004.0,,,140,2,,,140,0,,,140,0,,,2,9296,0.0142857142857142,0.0,0.0,0.013477088948787,10882.586005705287,66,66,66
MLI,ML,3116.0,30004.0,30004.0,dologou,55307.0,-3.4216001,14.4736,3,,,2004.0,,,65,0,,,65,0,,,65,0,,,2,9264,0.0,0.0,0.0,0.0,25317.965605658515,67,67,67
MLI,ML,3115.0,29999.0,29999.0,doucoura coro,55381.0,-7.8621998,12.645,3,,,2004.0,,,98,9,,,98,0,,,98,0,,,2,9241,0.0918367346938775,0.0,0.0,0.0866384289564882,6402.7746588243135,68,68,68
MLI,ML,3115.0,29999.0,29999.0,dougan,55382.0,-8.2640555,12.9548192,1,,,2004.0,,,70,2,,,70,0,,,70,0,,,2,9240,0.0285714285714285,0.0,0.0,0.0269541778975741,18953.319790437374,69,69,69
MLI,ML,3117.0,30018.0,30018.0,dougoukouna,55468.0,-6.3724999,13.3713,3,,,2004.0,,,108,13,,,108,0,,,108,3,,,2,9303,0.1203703703703703,0.0,0.0277777777777777,0.1366080441028029,8173.542532193817,70,70,70
