"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst"
"NER","NE",3673.0,35326.0,35326.0,"",1.89446,13.6014,3,"","sentinel site",2013.0,9.0,10.0,0,0,94,0,94,0,1,27480,"",0.0,0.0,"",0.0,30,30,29
"NER","NE",3670.0,35308.0,35308.0,"",6.980556,13.614394,3,"","mapping",2005.0,7.0,11.0,60,0,60,1,60,0,2,27419,0.0,0.0166666666666666,0.0,0.0157232704402515,0.0,31,31,32
"NER","NE",3670.0,35308.0,35308.0,13752.0,6.980556,13.614394,3,"","",2006.0,"","",60,0,60,1,60,0,1,10158,0.0,0.0166666666666666,0.0,0.0157232704402515,0.0,32,32,31
"NER","NE",3673.0,35325.0,35325.0,55609.0,3.086,14.302,3,"","",2004.0,"","",40,0,40,0,40,0,2,10204,0.0,0.0,0.0,0.0,8010.4701523830645,33,33,33
"NER","NE",3668.0,35299.0,35299.0,55660.0,11.877,13.652,3,"","",2004.0,"","",60,0,60,0,60,0,2,10103,0.0,0.0,0.0,0.0,8646.941467276145,34,34,34
"NER","NE",3667.0,35297.0,35297.0,13811.0,9.0866667,17.4038889,3,"","",2006.0,"","",40,0,40,0,40,0,1,10082,0.0,0.0,0.0,0.0,8658.904864417469,35,35,35
"NER","NE",3673.0,35327.0,35327.0,55680.0,2.6930001,14.672,3,"","",2004.0,"","",57,0,57,0,57,0,2,10233,0.0,0.0,0.0,0.0,1120.6731667472227,36,36,36
"NER","NE",3670.0,35312.0,35312.0,"",8.2749125,13.9426026,3,"","mapping",2005.0,10.0,16.0,59,0,59,0,59,0,2,27432,0.0,0.0,0.0,0.0,0.0,37,37,38
"NER","NE",3670.0,35312.0,35312.0,13822.0,8.2749125,13.9426026,3,"","",2006.0,"","",60,0,60,0,60,0,1,10172,0.0,0.0,0.0,0.0,0.0,38,38,37
"NER","NE",3670.0,35307.0,35307.0,55589.0,7.6389999,14.491,3,"","",2004.0,"","",62,8,62,0,62,0,2,10149,0.1290322580645161,0.0,0.0,0.1217285453438831,472.39805848172097,39,39,39
"NER","NE",3669.0,35304.0,35304.0,"",3.5939254,11.9889213,1,"","mapping",2012.0,7.0,12.0,50,0,50,0,50,0,1,27368,0.0,0.0,0.0,0.0,0.0,40,40,41
"NER","NE",3669.0,35304.0,35304.0,55618.0,3.5939254,11.9889213,1,"","",2004.0,"","",60,0,60,0,60,0,2,10132,0.0,0.0,0.0,0.0,0.0,41,41,40
"NER","NE",3670.0,35307.0,35307.0,"",6.6183901,14.7073373,1,"","mapping",2005.0,7.0,16.0,60,0,60,0,60,0,2,27415,0.0,0.0,0.0,0.0,0.0,42,42,43
"NER","NE",3670.0,35307.0,35307.0,13731.0,6.6183901,14.7073373,1,"","",2006.0,"","",60,0,60,0,60,0,1,10144,0.0,0.0,0.0,0.0,0.0,43,43,42
"NER","NE",3670.0,35308.0,35308.0,55630.0,6.6183901,14.7073373,1,"","",2004.0,"","",43,0,43,0,43,0,2,10153,0.0,0.0,0.0,0.0,0.0,44,44,42
"NER","NE",3668.0,35298.0,35298.0,55596.0,13.188,13.667,3,"","",2004.0,"","",60,0,60,0,60,0,2,10101,0.0,0.0,0.0,0.0,10220.218814719945,45,45,45
"NER","NE",3668.0,35299.0,35299.0,55661.0,11.867,13.857,3,"","",2004.0,"","",24,0,24,0,24,0,2,10106,0.0,0.0,0.0,0.0,9377.924968497457,46,46,46
"NER","NE",3669.0,35305.0,35305.0,13757.0,2.29082,13.6124517,1,"","",2006.0,"","",60,0,60,0,60,0,1,10137,0.0,0.0,0.0,0.0,21333.72279605616,47,47,47
"NER","NE",3668.0,35298.0,35298.0,"",13.31583,13.69661,1,"","mapping",2014.0,8.0,12.0,50,0,50,0,50,0,1,27304,0.0,0.0,0.0,0.0,10624.839381969148,48,48,48
