iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence,shortest,id,src,dst
TZA,TZ,4797.0,46531.0,46531.0,bisarwi,,34.25547,-1.437075,3,school,mapping,2017.0,10.0,14.0,30,0,0.0,0.0,30,0,0.0,0.0,30,0,0.0,0.0,1,37147,0.0,0.0,0.0,0.0,0.0,22,22,528
TZA,TZ,4797.0,46526.0,46526.0,bisumwa,,33.85492,-1.6126900000000002,3,ward,mapping,2018.0,,,30,0,0.0,,30,0,0.0,,30,0,0.0,,1,22919,0.0,0.0,0.0,0.0,0.3673543194308877,23,23,886
TZA,TZ,4797.0,46532.0,46532.0,bomani,,34.36347,-1.352015,3,ward,mapping,2018.0,,,30,0,0.0,,30,6,0.0,,30,0,0.0,,1,23183,0.0,0.2,0.0,0.1886792452830188,0.0,24,24,25
TZA,TZ,4797.0,46532.0,46532.0,bomani,,34.36347,-1.352015,3,ward,mapping,2018.0,,,30,0,0.0,,30,0,0.0,,30,0,0.0,,1,23184,0.0,0.0,0.0,0.0,0.0,25,25,24
TZA,TZ,4810.0,46616.0,46616.0,bombo majimoto,59638.0,39.1140366,-5.0682708,1,,,1996.0,,,52,37,,,52,10,,,52,6,,,3,16008,0.7115384615384616,0.1923076923076923,0.1153846153846153,0.748957626609184,2646.275938904548,26,26,26
TZA,TZ,4797.0,46531.0,46531.0,bongenge,,34.6086233,-1.4724867,3,school,mapping,2017.0,12.0,15.0,30,0,0.0,0.0,30,0,0.0,0.0,30,0,0.0,0.0,1,37148,0.0,0.0,0.0,0.0,6563.381056786579,27,27,27
TZA,TZ,4797.0,46531.0,46531.0,borega a,,34.5863733,-1.3220667,3,school,mapping,2017.0,11.0,15.0,30,0,0.0,0.0,30,0,0.0,0.0,30,0,0.0,0.0,1,37149,0.0,0.0,0.0,0.0,3361.939714743893,28,28,28
TZA,TZ,4801.0,46560.0,46560.0,bubinza,59664.0,33.483333,-2.533333,1,,,1997.0,,,115,37,,,115,0,,,115,0,,,3,15759,0.3217391304347826,0.0,0.0,0.3035274815422477,7524.644485479919,29,29,29
TZA,TZ,4789.0,46476.0,46476.0,bufanka,59522.0,31.9869,-3.6065199,3,,,2004.0,,,60,43,,,60,0,,,60,0,,,2,15635,0.7166666666666667,0.0,0.0,0.6761006289308176,12509.615041229139,30,30,30
TZA,TZ,4801.0,46560.0,46560.0,bugando,59665.0,33.171299,-2.5048699,3,,,1997.0,,,100,51,,,100,1,,,100,0,,,3,15770,0.51,0.01,0.0,0.485754716981132,3740.378674894071,31,31,31
TZA,TZ,4791.0,46493.0,46493.0,bugarama,59771.0,30.5322273,-2.8670033,1,,,2004.0,,,60,32,,,60,0,,,60,2,,,2,15704,0.5333333333333333,0.0,0.0333333333333333,0.5178197064989517,23891.098531037875,32,32,32
TZA,TZ,4791.0,46492.0,46492.0,bugasha,,31.7443583,-1.57698,3,school,sentinel site,2016.0,9.0,13.0,59,1,0.0,0.0,59,34,0.0,0.0,59,10,0.0,0.0,1,36806,0.0169491525423728,0.576271186440678,0.1694915254237288,0.6170322754425388,0.0,33,33,34
TZA,TZ,4791.0,46492.0,46492.0,bugasha,,31.7443583,-1.57698,3,school,sentinel site,2017.0,9.0,14.0,61,4,0.0,0.0,61,34,0.0,0.0,61,32,0.0,0.0,1,36807,0.0655737704918032,0.5573770491803278,0.5245901639344263,0.7578973653600629,0.0,34,34,33
TZA,TZ,4791.0,46492.0,46492.0,bugasha,,31.7443583,-1.57698,3,school,sentinel site,2018.0,10.0,15.0,60,30,0.0,0.02,60,16,0.0,0.0,60,26,0.0,0.03,1,36810,0.5,0.2666666666666666,0.4333333333333333,0.7473794549266246,0.0,35,35,33
TZA,TZ,4797.0,46529.0,46529.0,bugendi b,,33.89011,-1.2289567,3,school,mapping,2017.0,11.0,15.0,30,1,0.0,0.0,30,1,0.0,0.0,30,0,0.0,0.0,1,37022,0.0333333333333333,0.0333333333333333,0.0,0.0618448637316561,0.033403529901988804,36,36,805
TZA,TZ,4806.0,46590.0,46590.0,bugogo,59632.0,33.283333,-3.783333,1,,,0.0,,,180,19,,,180,0,,,180,0,,,3,15888,0.1055555555555555,0.0,0.0,0.0995807127882599,14017.194033325124,37,37,37
TZA,TZ,4789.0,46478.0,46478.0,bugogo,59571.0,31.9,-3.2,3,,,0.0,,,46,1,,,46,0,,,46,0,,,3,15650,0.0217391304347826,0.0,0.0,0.0205086136177194,7999.5237618316505,38,38,38
TZA,TZ,4797.0,46527.0,46527.0,bugoji,,33.73654,-1.90184,3,ward,mapping,2018.0,,,30,4,0.0,,30,0,0.0,,30,0,0.0,,1,22954,0.1333333333333333,0.0,0.0,0.1257861635220125,0.0,39,39,40
TZA,TZ,4797.0,46527.0,46527.0,bugoji,,33.73654,-1.90184,3,school,mapping,2017.0,11.0,15.0,30,4,0.0,0.0,30,0,0.0,0.0,30,0,0.0,0.0,1,36941,0.1333333333333333,0.0,0.0,0.1257861635220125,0.0,40,40,39
