iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,asc_examined,asc_positive,tt_examined,tt_positive,quality,sn,hk_prevalence,asc_prevalence,tt_prevalence,sth_prevalence,shortest,id,src,dst
UGA,UG,5233.0,49816.0,49816.0,achilake p/s,59409.0,31.24619,3.56665,3,,,2008.0,,,226,38,226,0,226,0,1,18116,0.168141592920354,0.0,0.0,0.1586241442644848,3667.19205114545,28,28,28
UGA,UG,5222.0,49805.0,49805.0,acholi bur,,32.9127726,3.1418571,1,,,2009.0,5.0,18.0,63,0,63,0,63,0,1,29705,0.0,0.0,0.0,0.0,0.0,29,29,30
UGA,UG,5222.0,49805.0,49805.0,acholi bur p/s,17849.0,32.9127726,3.1418571,1,,,2008.0,,,65,0,65,0,65,0,1,17902,0.0,0.0,0.0,0.0,0.0,30,30,29
UGA,UG,5219.0,49802.0,49802.0,acimi ikongo com,59262.0,32.25848,2.3884699,3,,,2007.0,,,183,84,183,2,183,0,1,17844,0.4590163934426229,0.0109289617486338,0.0,0.4386120590427608,13160.133393992577,31,31,31
UGA,UG,5227.0,49810.0,49810.0,acomia,17939.0,33.47148,1.398591,3,,,2005.0,,,34,13,34,0,34,0,2,17994,0.3823529411764705,0.0,0.0,0.3607103218645948,9696.687763270866,32,32,32
UGA,UG,5215.0,49798.0,49798.0,acomia,,33.785702,1.66425,3,,,2005.0,5.0,16.0,65,21,65,0,65,0,2,30953,0.3230769230769231,0.0,0.0,0.3047895500725689,5450.930433981866,33,33,33
UGA,UG,5126.0,49709.0,49709.0,acowa,,33.801498,2.07183,3,,,1998.0,7.0,14.0,41,29,41,0,41,0,3,30948,0.7073170731707317,0.0,0.0,0.6672802577082374,16464.109835347695,34,34,34
UGA,UG,5221.0,49804.0,49804.0,adal p/s,59276.0,33.675499,1.25299,3,,,2011.0,,,50,0,50,0,50,0,1,17879,0.0,0.0,0.0,0.0,4770.0195897100575,35,35,35
UGA,UG,5201.0,49784.0,49784.0,adhu com,59089.0,30.91989,3.27386,3,,,2010.0,,,64,6,64,6,64,0,1,17533,0.09375,0.09375,0.0,0.1685952240566037,0.0,36,36,37
UGA,UG,5201.0,49784.0,49784.0,adhu com,17615.0,30.91989,3.27386,3,,,2010.0,,,0,0,64,6,64,0,1,17521,,0.09375,0.0,,0.0,37,37,36
UGA,UG,5201.0,49784.0,49784.0,adhu com,17627.0,30.91989,3.27386,3,,,2010.0,,,64,6,0,0,0,0,1,17529,0.09375,,,,0.0,38,38,36
UGA,UG,5168.0,49751.0,49751.0,adodoi,,33.8522,1.7178300000000002,3,,,1998.0,7.0,14.0,40,28,40,0,40,0,3,30860,0.7,0.0,0.0,0.6603773584905659,7946.742844419532,39,39,39
UGA,UG,5171.0,49754.0,49754.0,adrumaga,58799.0,31.0622957,3.3859933,1,,,2010.0,,,59,3,59,0,59,0,1,17050,0.0508474576271186,0.0,0.0,0.0479692996482251,2484.3740562203243,40,40,40
UGA,UG,5131.0,49714.0,49714.0,adyanglim,17121.0,33.2140971,2.0974511,1,,,2012.0,,,61,0,61,0,61,0,1,16326,0.0,0.0,0.0,0.0,2747.276672494182,41,41,41
UGA,UG,5126.0,49709.0,49709.0,aeket camp,,33.682999,2.32558,3,,,1998.0,7.0,14.0,42,30,42,0,42,0,3,30901,0.7142857142857143,0.0,0.0,0.6738544474393531,14882.621604688093,42,42,42
