"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst"
"GMB","GM",4915,47652,47652,52586.0,-14.273346,13.406569,3,"","",2005.0,"","",30,0,30,1,30,0,2,6006,0.0,0.0333333333333333,0.0,0.0314465408805031,3696.7040475707604,72,72,72
"GMB","GM",4911,47623,47623,16762.0,-14.61191,13.361416,1,"","",2015.0,"","",0,0,0,0,0,0,1,5744,"","","","",1079.6121576305034,73,73,73
"GMB","GM",4911,47623,47623,16763.0,-14.6088,13.37035333,3,"","",2015.0,"","",50,0,50,0,50,0,1,5741,0.0,0.0,0.0,0.0,1079.6121576305034,74,74,74
"GMB","GM",4915,47650,47650,16811.0,-14.26912,13.25019,1,"","",2015.0,"","",0,0,0,0,0,0,1,5991,"","","","",0.0,75,75,76
"GMB","GM",4915,47650,47650,16812.0,-14.26912,13.25019,1,"","",2015.0,"","",50,0,50,0,50,0,1,5987,0.0,0.0,0.0,0.0,0.0,76,76,75
"GMB","GM",4915,47652,47652,17042.0,-14.46402,13.503285,3,"","",2015.0,"","",48,0,48,0,48,0,1,6011,0.0,0.0,0.0,0.0,3921.819988729028,77,77,77
"GMB","GM",4911,47631,47631,17023.0,-14.62091667,13.59218667,3,"","",2015.0,"","",0,0,0,0,0,0,1,5790,"","","","",0.0,78,78,79
"GMB","GM",4911,47631,47631,17024.0,-14.62091667,13.59218667,3,"","",2015.0,"","",50,0,50,0,50,0,1,5794,0.0,0.0,0.0,0.0,0.0,79,79,78
"GMB","GM",4911,47631,47631,17025.0,-14.65015667,13.58366667,3,"","",2015.0,"","",0,0,0,0,0,0,1,5803,"","","","",0.0,80,80,81
"GMB","GM",4911,47631,47631,17026.0,-14.65015667,13.58366667,3,"","",2015.0,"","",50,0,50,0,50,0,1,5800,0.0,0.0,0.0,0.0,0.0,81,81,80
"GMB","GM",4915,47652,47652,52587.0,-14.40639,13.3835,1,"","",2005.0,"","",30,0,30,0,30,0,2,6009,0.0,0.0,0.0,0.0,3949.4909675691615,82,82,82
"GMB","GM",4911,47631,47631,17027.0,-14.6391064,13.4745096,1,"","",2015.0,"","",0,0,0,0,0,0,1,5791,"","","","",276.8563842381849,83,83,83
"GMB","GM",4911,47631,47631,52583.0,-14.640618,13.472589,3,"","",2010.0,"","",52,1,52,0,52,0,1,5788,0.0192307692307692,0.0,0.0,0.0181422351233671,276.8563842381849,84,84,84
"GMB","GM",4911,47631,47631,17028.0,-14.63910833,13.469155,3,"","",2015.0,"","",49,0,49,1,49,0,1,5792,0.0,0.0204081632653061,0.0,0.0192529842125529,427.5031439933651,85,85,85
"GMB","GM",4913,47635,47635,16785.0,-15.29746667,13.38078,3,"","",2015.0,"","",50,0,50,1,50,0,1,5865,0.0,0.02,0.0,0.0188679245283018,9459.50042058675,86,86,86
"GMB","GM",4913,47639,47639,16885.0,-15.8326992,13.3491994,1,"","",2015.0,"","",0,0,0,0,0,0,1,5892,"","","","",0.0,87,87,88
"GMB","GM",4913,47639,47639,16886.0,-15.8326992,13.3491994,1,"","",2015.0,"","",50,0,50,4,50,0,1,5893,0.0,0.08,0.0,0.0754716981132075,0.0,88,88,87
"GMB","GM",4916,47664,47664,16948.0,-16.76182833,13.38840333,3,"","",2015.0,"","",50,0,50,0,50,0,1,6134,0.0,0.0,0.0,0.0,645.6894511938176,89,89,89
"GMB","GM",4914,47645,47645,16975.0,-16.5171626,13.4786086,1,"","",2015.0,"","",0,0,0,0,0,0,1,5944,"","","","",1470.1548745140183,90,90,90
"GMB","GM",4914,47645,47645,16976.0,-16.52984333,13.48219667,3,"","",2015.0,"","",50,0,50,1,50,0,1,5939,0.0,0.02,0.0,0.0188679245283018,1394.8436199053585,91,91,91
"GMB","GM",4912,47633,47633,16834.0,-16.6910322,13.4696557,1,"","",2015.0,"","",0,0,0,0,0,0,1,5854,"","","","",1151.128075691643,92,92,92
"GMB","GM",4912,47633,47633,16835.0,-16.6661,13.414939,1,"","",2015.0,"","",0,0,0,0,0,0,1,5846,"","","","",297.37039757604026,93,93,93
"GMB","GM",4914,47646,47646,17056.0,-15.6002024,13.5722578,1,"","",2015.0,"","",0,0,0,0,0,0,1,5960,"","","","",0.0,94,94,254
