"iso3","iso2","admin1_id","admin2_id","iu_id","site_id","longitude","latitude","georeliability","location_type","survey_type","year","age_start","age_end","hk_examined","hk_positive","asc_examined","asc_positive","tt_examined","tt_positive","quality","sn","hk_prevalence","asc_prevalence","tt_prevalence","sth_prevalence","shortest","id","src","dst"
"MWI","MW",3004.0,28965.0,28965.0,"",34.8102917,-15.0487313,3,"school","mapping",2018,10.0,14.0,29,0,29,3,29,0,1,26615,0.0,0.1034482758620689,0.0,0.0975927130774235,5764.52991386379,28,28,28
"MWI","MW",3002.0,28963.0,28963.0,"",34.09006,-12.5695,3,"school","mapping",2013,10.0,13.0,30,0,30,13,30,0,1,26596,0.0,0.4333333333333333,0.0,0.4088050314465408,0.0,29,29,30
"MWI","MW",3002.0,28963.0,28963.0,13251.0,34.09006,-12.5695,3,"","",2013,"","",30,2,30,0,30,0,1,9917,0.0666666666666666,0.0,0.0,0.0628930817610062,0.0,30,30,29
"MWI","MW",2983.0,28944.0,28944.0,"",35.02131103,-14.90433665,3,"school","mapping",2018,10.0,14.0,29,0,29,0,29,0,1,26934,0.0,0.0,0.0,0.0,3330.074399197488,31,31,31
"MWI","MW",3007.0,28968.0,28968.0,"",34.12697201,-10.82724343,3,"school","mapping",2017,10.0,14.0,16,0,16,0,16,0,1,26916,0.0,0.0,0.0,0.0,7075.841967040478,32,32,32
"MWI","MW",3005.0,28966.0,28966.0,"",34.0540291,-13.4195029,3,"school","mapping",2018,10.0,14.0,30,3,30,3,30,1,1,26654,0.1,0.1,0.0333333333333333,0.2047169811320754,6365.576073013703,33,33,33
"MWI","MW",2996.0,28957.0,28957.0,"",33.007297,-13.65466719,3,"school","mapping",2017,10.0,13.0,30,0,30,0,30,0,1,26575,0.0,0.0,0.0,0.0,11924.775995362164,34,34,34
"MWI","MW",2991.0,28952.0,28952.0,"",33.3514492,-13.32334699,3,"school","mapping",2017,10.0,14.0,30,0,30,0,30,0,1,26396,0.0,0.0,0.0,0.0,3365.941145209268,35,35,35
"MWI","MW",3005.0,28966.0,28966.0,"",33.891555,-13.10533,3,"school","mapping",2012,11.0,16.0,30,2,30,0,30,0,1,26655,0.0666666666666666,0.0,0.0,0.0628930817610062,2293.0186990304583,36,36,36
"MWI","MW",2991.0,28952.0,28952.0,"",33.65085271,-12.85438511,3,"school","mapping",2017,10.0,14.0,27,0,27,0,27,0,1,26397,0.0,0.0,0.0,0.0,13640.883632371457,37,37,37
"MWI","MW",3010.0,28971.0,28971.0,"",35.34376,-15.4235,3,"school","mapping",2013,10.0,14.0,30,2,30,2,30,0,1,27246,0.0666666666666666,0.0666666666666666,0.0,0.1215932914046121,0.0,38,38,39
"MWI","MW",3010.0,28971.0,28971.0,13321.0,35.34376,-15.4235,3,"","",2013,"","",30,0,30,0,30,0,1,9997,0.0,0.0,0.0,0.0,0.0,39,39,38
