iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst,self
SEN,SN,4125.0,40182.0,40182.0,gounass,56628.0,-13.752088,13.146617,2,,,2013.0,,,50,0,,,50,0,,,50,0,,,1,13478,POINT (-1530875.433504288 1476487.887898375),72217.47405605031,25,25,247,True
SEN,SN,4119.0,40157.0,40157.0,guediawaye / demba wade,,-17.391083,14.782431,3,,,2013.0,5.0,20.0,50,0,,,50,24,,,50,32,,,1,29575,POINT (-1935966.503903556 1664138.779226993),362.16286462556366,26,26,248,True
SEN,SN,4119.0,40157.0,40157.0,guedjawaye,,-17.395599,14.7761,3,,,1986.0,0.0,5.0,103,0,,,103,34,,,103,30,,,3,29060,POINT (-1936469.222723979 1663409.901158795),885.4317877219132,27,27,249,True
SEN,SN,4119.0,40157.0,40157.0,guepay,,-17.393583,14.784444,3,,,2013.0,5.0,20.0,50,0,,,50,31,,,50,31,,,1,29579,POINT (-1936244.80263054 1664370.537202202),362.16286462556366,28,28,250,True
SEN,SN,4119.0,40157.0,40157.0,guinaw rail nord,,-17.3834048,14.7527106,1,,,2013.0,5.0,20.0,50,0,,,50,19,,,50,11,,,1,29556,POINT (-1935111.770589348 1660717.30047167),1066.3187458625862,29,29,251,True
SEN,SN,4121.0,40170.0,40170.0,haidara,,-16.429792,13.679028,3,,,2013.0,5.0,20.0,50,0,,,50,0,,,50,0,,,1,29542,POINT (-1828956.0792794 1537417.770905143),2724.0879840995185,30,30,252,True
SEN,SN,4131.0,40218.0,40218.0,hersent ii,,-16.9100378,14.7753254,1,,,2013.0,5.0,20.0,50,0,,,50,11,,,50,1,,,1,29549,POINT (-1882416.797191008 1663320.724138373),3394.395110067534,31,31,253,True
SEN,SN,4119.0,40157.0,40157.0,icotaf 1,,-17.3955953,14.7484062,1,,,2013.0,5.0,20.0,50,0,,,50,18,,,50,9,,,1,29591,POINT (-1936468.810841863 1660221.807107268),1230.3284639389078,32,32,254,True
SEN,SN,4129.0,40202.0,40202.0,k?acgn?acto,56609.0,-15.705208,13.034236,3,,,2013.0,,,54,33,,,54,1,,,54,0,,,1,13504,POINT (-1748295.757362447 1463643.924496079),0.0,33,33,35,False
SEN,SN,4121.0,40170.0,40170.0,karang poste 1,,-16.4258643,13.6050746,1,,,2013.0,5.0,20.0,50,0,,,50,0,,,50,0,,,1,29543,POINT (-1828518.849715411 1528946.320225715),5763.9697816069975,34,34,256,True
