iso3,iso2,admin1_id,admin2_id,iu_id,location,site_id,longitude,latitude,georeliability,location_type,survey_type,year,age_start,age_end,hk_examined,hk_positive,hk_perc_highinfection,hk_perc_moderateinfection,asc_examined,asc_positive,asc_perc_highinfection,asc_perc_moderateinfection,tt_examined,tt_positive,tt_perc_highinfection,tt_perc_moderateinfection,quality,sn,geometry,shortest,id,src,dst,self
SSD,SS,4577.0,44366.0,44366.0,nyeaaruop,57053.0,30.0527,8.2761202,3,,,2010,,,34,0,,,34,0,,,34,0,,,1,13857,POINT (3345451.260963013 924514.0231740803),0.0,292,292,342,False
SSD,SS,4578.0,44372.0,44372.0,nyiger primary school,,32.153618,9.959933,3,school,mapping,2018,9.0,15.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36711,POINT (3579324.382921436 1114361.209295566),0.0,293,293,108,False
SSD,SS,4574.0,44333.0,44333.0,nyikan primary school,,33.0211111,7.7894444,3,school,mapping,2018,10.0,13.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36688,POINT (3675893.273080114 869800.5178501328),1718.9482459878172,294,294,1124,True
SSD,SS,4581.0,44401.0,44401.0,nyin akok,,28.02768,7.92167,3,school,mapping,2018,8.0,15.0,40,0,0.0,0.0,40,0,0.0,0.0,40,0,0.0,0.0,1,36752,POINT (3120027.065716818 884659.2453102247),5939.7648847385,295,295,1125,True
SSD,SS,4576.0,44357.0,44357.0,nykuala/mattar,56909.0,26.818199,8.6172895,3,,,2009,,,54,11,,,54,0,,,54,0,,,1,13754,POINT (2985388.256672679 962909.3515433701),53070.053666118794,296,296,1126,True
SSD,SS,4577.0,44365.0,44365.0,nyoany,57044.0,30.306801,8.1884003,3,,,2010,,,54,1,,,54,0,,,54,0,,,1,13850,POINT (3373737.654893074 914647.4198013877),21.024487199560763,297,297,1127,True
SSD,SS,4580.0,44397.0,44397.0,nzara one,,28.2513889,4.64,3,school,mapping,2018,10.0,14.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36781,POINT (3144930.226550741 517087.9488171987),4751.308928511617,298,298,1128,True
SSD,SS,4574.0,44344.0,44344.0,obwodi pri,16363.0,34.166255,7.08491,3,,,2016,,,45,9,,,45,0,,,45,13,,,1,13710,POINT (3803370.108913137 790706.2060712121),1191.1576521840243,299,299,1129,True
SSD,SS,4574.0,44342.0,44342.0,old fangak community school,,30.883266,9.068233,3,school,mapping,2018,9.0,14.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36692,POINT (3437909.445153219 1013712.133642926),4199.816572815575,300,300,1130,True
SSD,SS,4578.0,44378.0,44378.0,omar primary school,,32.7777778,11.7313889,3,school,mapping,2018,9.0,15.0,50,0,0.0,0.0,50,0,0.0,0.0,50,0,0.0,0.0,1,36728,POINT (3648805.534031068 1315153.846202452),4796.769290007543,301,301,1131,True
